smiles,IC50
Cn1c(=O)c2c(nc(OCc3ccccc3)n2C)n(C)c1=O,1240.0
Cn1c(=O)c2c(nc(OCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,3720.0
CCc1ccc(NC(=S)N/N=C/c2ccc(-n3nc4c(c3C)N(C)S(=O)(=O)c3ccccc3-4)cc2)cc1,2910.0
O=C(CCCc1ccccc1)Nc1nc2cc(Cl)ccc2c(=O)s1,76.4
O=C(COc1cccc(Cl)c1)Nc1nc2ccccc2c(=O)s1,1.63
C#CCN(C)[C@H](C)Cc1ccccc1,20.0
c1ccc(C2C[C@@H]2NCc2ccccn2)cc1,11000.0
Cl.NCC1CC1c1ccccc1,33.0
CC(=O)c1cc2cc(Cl)cc(Br)c2oc1=O,140.0
O=C(NNc1ccccc1)c1cc2ccccc2oc1=O,4520.0
CCOC(=O)c1cc2cc(O)ccc2oc1=O,10060.0
CCOC(=O)c1cc2ccc(N(CC)CC)cc2oc1=O,45520.0
NNC(=O)c1cc2ccccc2oc1=O,3.22
CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,82.0
O=C1Nc2ccccc2C1=O,18750.0
Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O,1.38
O=c1ccc2ccc(COc3ccccc3)cc2o1,64.57
O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccccc2oc1=O,910.0
Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,61490.0
COc1ccc(-c2cc3cc(C)cc(Br)c3oc2=O)cc1,3230.0
C#CCN(C)[C@H](C)Cc1ccccc1,19600.0
CC(C)=CCOc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,18620.87
C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccc(C)cc1,740000.0
FC(F)(F)c1ccc(CN[C@H]2CC2c2ccccc2)cc1,1000.0
C#CCN(C)[C@H](C)Cc1ccccc1,19.6
COc1ccc(CN[C@H]2CC2c2ccc(Oc3ccccc3)cc2)cc1,3000.0
C#CCNC1CCc2c(OCc3cccc(Cl)c3)cccc21,330.0
C#CCNC1CCc2c(OCc3cccc(C)c3)cccc21,550.0
C#CCNC1CCc2c(OCc3ccc(C)cc3)cccc21,1090.0
C#CCNC1CCc2c(OCCc3cccc(Cl)c3)cccc21,5870.0
C#CCNC1CCc2c(OCCCOc3cccc(I)c3)cccc21,18010.0
COc1ccc(/C=C2\COc3ccccc3C2=O)cc1,58884.37
O=C1/C(=C/c2ccc(Cl)cc2)COc2ccccc21,154881.66
C#CCN(C)[C@H](C)Cc1ccccc1,19.6
CCCN(C)c1ccc(/C=C2\Cc3cc(O)c(O)cc3C2=O)cc1.Cc1ccc(S(=O)(=O)O)cc1,7500.0
Cc1ccc2oc(=O)c(-c3cccc4ccccc34)cc2c1,6490.0
O=C(CCCc1ccccc1)Nc1nc2ccccc2c(=O)s1,34.9
Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,18.1
CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,1000.0
Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(Cc3ccccc3)CC2)n(C)c1=O,10000.0
Cn1c(=O)c2c(nc3n2CCCN3Cc2ccc(Cl)c(Cl)c2)n(C)c1=O,62.9
CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(CC)c1=O,4760.0
CCn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2OC)n(CC)c1=O,3260.0
O=C1CCc2cc(OCCCC(F)(F)F)ccc21,0.318
CCOC(=O)N(C[C@H]1CN(c2ccc(N3CCN(C(C)=O)CC3)c(F)c2)C(=O)O1)C(=O)CC,127150.0
O=C(C/C=C/c1ccccc1)Nc1nc2ccccc2c(=O)s1,39.8
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,395000.0
Cc1ccc2oc(=O)c(-c3cccs3)cc2c1,3760.0
CC(=O)N1N=C(c2ccccc2)CC1c1ccccc1C,38000.0
Cl.NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccccc3F)cc2)N1,3.981
CC1CCCC/C1=N\Nc1nc(-c2ccc(Cl)cc2)cs1,13126.0
Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)c(F)c1,16.0
CC1CCC(=NNc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)CC1,362.0
CC1CCC(=NNc2nc(-c3ccc(Cl)cc3)cs2)CC1,2411.0
CC1CCC(=NNc2nc(-c3ccccc3)cs2)CC1,259.0
Fc1ccc(-c2csc(NN=C3CCCCC3)n2)c(F)c1,652.0
Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1,3.0
c1ccc(-c2csc(NN=C3CCCC3)n2)cc1,296.0
C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1cccs1,850000.0
Cc1ccsc1/C=N/Nc1nc2ccccc2nc1Cc1ccccc1,860000.0
C#CCOc1ccc(-c2cc(-c3cccc(OCC#C)c3)nc(C)n2)cc1,8090.0
Cc1sc2nc(NC(=O)CCCc3ccccc3)sc(=O)c2c1C,9.8
C=C(CNN)c1ccc(F)cc1.Cl,81000.0
CC1CCCC/C1=N\Nc1nc(-c2ccc(Cl)cc2Cl)cs1,26811.0
Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21,0.662
O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1,1.59
C#CCN[C@@H]1CCc2ccccc21,25.0
CCC(C)(C)c1ccc(OCCCN2CCCC2)cc1,4.5
CCC(C)(C)c1ccc(OCCCN2CC(C)CC(C)C2)cc1,962.0
CCC(C)(C)c1ccc(OCCCN2CCCCCC2)cc1,65.0
CCC(C)(C)c1ccc(OCCCCN2CCCC(C)C2)cc1,1228.0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,4190.0
c1cn(-c2ccc3nc(-c4ccc5c(c4)OCO5)ccc3c2)cn1,10000.0
CC(=O)c1ccc(OCCCN2CCN(Cc3ccccc3)CC2)cc1O,6800.0
CC(=O)c1ccc(OCCCCN2CCN(Cc3ccccc3)CC2)cc1O,15900.0
CC(=O)c1ccc(OCCCCCCN2CCCC2)cc1O,12200.0
C#CCN[C@@H]1CCc2ccccc21,86.0
Cc1ccc2oc(=O)c(-c3cccc(Br)c3)cc2c1,0.134
Cc1ccc(NC(=S)N/N=C/c2ccc(-n3nc4c(c3C)N(C)S(=O)(=O)c3ccccc3-4)cc2)cc1,29500.0
O=Cc1cccc(OCc2ccc(Br)cc2)c1,190.0
C#CCN1CCC(/C=C\c2ccc(F)cc2)CC1,6221.5
C#CCN1CCC(CCc2ccc(C(N)=O)cc2)CC1,5554.5
N#CCCN1C(=O)S/C(=C\c2ccccc2)C1=O,2290.0
O=C(CC1SC(=O)NC1=O)Nc1cccc(O)c1,11000.0
CNC(=S)N1CCC(c2ccc(OC)cc2)=N1,13700.0
CNC(=S)N1CC(C)C(c2ccc(Cl)cc2)=N1,34810.0
C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1,63.1
Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,4.0
c1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,27.0
Cc1ccc(-c2csc(NN=C3CCC(C)CC3)n2)cc1,5477.0
N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,221.0
COc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,164.0
Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,134.0
Fc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,40.0
COc1cc2sn(CCCCN(C)Cc3ccccc3)c(=O)c2cc1OC,19700.0
CCN(CCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccc(N(C)C)cc1,18800.0
COc1cc(Br)cc2cc(-c3ccccc3)c(=O)oc12,83.48
C#CCN1C(=O)C(=O)c2ccccc21,35190.0
Cc1ccc([C@@]2(F)C[C@H]2N)cc1.Cl,6700.0
CC(=O)c1cccc(OCc2ccc(Br)cc2)c1,92.41
CC(=O)c1ccc(OCc2cccc(Cl)c2)cc1O,25.12
CC(=O)c1ccc(OCc2ccc(Cl)cc2)cc1F,52.93
O=C1CCOc2cc(OCc3ccc(Cl)cc3)ccc21,42.05
O=c1ccoc2cc(OCc3cccc(Cl)c3)ccc12,43.42
O=c1ccoc2cc(OCc3ccc(F)cc3)ccc12,63.22
