smiles,IC50
CN(C)CCC=C1c2ccccc2CCc2ccccc21,15.0
CC(C)(C)NC1=NCCNC(c2ccccc2Cl)=C1,76.0
CCC1(NC2=NCCNC(c3ccc(F)cc3F)=C2)CCCC1,1.1
CN(C)CC1CC2c3ccccc3Oc3ccc(Cl)cc3N2O1,1.905
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)[nH]c3C)CC2)c1C,300.0
CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,324.0
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccc2)n1-c1ccc(F)cc1,4.1
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccc2)n1Cc1ccccc1,354.0
Cc1[nH]c(-c2ccccc2)cc1C(=O)NCCN1CCN(c2cccc(Cl)c2Cl)CC1,40.0
CCCn1c(-c2ccccc2)cc(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,104.0
Cc1ccc(C2=CC(NC(C)(C)C)=NCCN2)c(C)c1,71.0
Cc1ccc(C2=CC(NC(C)(C)Cc3ccccc3)=NCCN2)cc1,2.4
CC1SC(C)(C)C(=O)N1CCCCN1CCN(c2csc3cc(F)ccc23)CC1,17.0
COc1cccc(NC(=O)NCCCN2CCCC(CCc3ccccc3)C2)c1,787.0
COc1ccc(Nc2nc(Cc3ccccc3)nc3c2CCNCC3)cc1.Cl,57.4
c1ccc2c(N3CCNCC3)cccc2c1,62.0
CCCn1c(-c2ccccc2)cc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,408.0
Cc1[nH]c(-c2ccc(Cl)cc2)cc1C(=O)NCCCN1CCN(c2cccc(Cl)c2Cl)CC1.Cl,105.0
COc1ccc(S(=O)(=O)n2cc(/C=N/N=C/N(C)C)c3c([N+](=O)[O-])cccc32)cc1,205.0
Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1C(F)(F)F.Cl.Cl.Cl.Cl,58.0
CCCc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3C)CC2)c(C)n1-c1ccccc1.Cl.Cl.Cl,154.0
CCCc1nc(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)cn1-c1ccccc1.Cl.Cl,133.0
Cc1c(Cl)cccc1N1CCN(CCCNC(=O)c2nc(C)n(CC(C)C)c2C)CC1.Cl.Cl.Cl,45.5
Fc1ccc(Nc2nc(N3CCN(c4ccccc4)CC3)nc3[nH]ncc23)cc1,27.2
Cc1[nH]c2ccc([N+](=O)[O-])cc2c1C1=CCNCC1,1000.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,442.0
CCc1c(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1,127.0
COc1ccc(-c2ccc(CCCNc3ccc(CN4CCCC4)cc3)nn2)cc1,4540.0
O=c1n(CCCCN2CCN(c3cccc4sccc34)CC2)nc2c(Cl)cccn12,368.0
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,31.0
CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3)CC2)c1C,191.0
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccn2)n1C.Cl.Cl.Cl.Cl,43.0
CCCN1CCN(CCC)C2(COc3cccc(OC)c3C2)C1,10000.0
COc1ccc(-n2c(C)nc(C(=O)NCCCN3CCN(c4cccc(Cl)c4Cl)CC3)c2C)cc1.Cl.Cl.Cl.Cl,20.0
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)nc(-c2ccccc2)n1-c1ccccc1.Cl.Cl.Cl.Cl,14.2
CN(C)CC1CC2c3cccc(C(F)(F)F)c3Cc3ccccc3N2O1,1000.0
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,4801.0
c1ccc(CNC[C@@H]2CCN(CCc3c[nH]c4ccc(-n5cnnc5)cc34)C2)cc1,4400.0
COc1ccc(NC(=O)Nc2ccc(Br)cc2)cc1-c1c(Br)cnn1C,0.5012
CN1CCN2c3ccccc3Cc3ccccc3C2C1,10.47
Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,240.0
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccc(Cl)cc4)c3C)CC2)c1C.Cl.Cl.Cl,67.0
CN(C)CC1CC2c3ccccc3Cc3cc(F)ccc3N2O1,6.918
CNC(=O)c1cc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)ccc1C,460.0
CNC(=O)c1cc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)ccc1F,360.0
Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccc2c(c1)OCCO2,8.63
COc1ccc(-n2cc(C(=O)NCCCN3CCN(c4cccc(C)c4C)CC3)nc2-c2ccccc2)cc1,19.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.4
CN(C)CC1(C)CC2c3ccccc3Cc3ccccc3N2O1,57.54
COc1ccccc1C1CCN(c2ccn3c(CC4CC4)nnc3c2Cl)CC1,1300.0
CN1CC(=O)N(CCCCN2CCN(c3cccc4sccc34)CC2)c2ccccc2C1=O,42.66
Cc1ccc(C2=CC(NC(C)(C)C)=NCCN2)cc1,11.0
COc1ccc(-n2c(-c3ccccc3)nc(C(=O)NCCCN3CCN(c4cccc(Cl)c4C)CC3)c2C)cc1.Cl.Cl.Cl,21.0
COc1ccc(-n2c(-c3ccccc3)nc(C(=O)NCCCN3CCN(c4cccc(C)c4C)CC3)c2C)cc1.Cl.Cl,24.0
COc1ccc(-n2cc(C(=O)NCCCN3CCN(c4cccc(C)c4C)CC3)nc2-c2ccccc2)cc1.Cl.Cl,19.0
Cc1c(Cl)cccc1N1CCN(CCCNC(=O)c2nc(C)n(-c3ccccc3F)c2C)CC1.Cl.Cl.Cl,40.0
COc1ccc(-n2c(-c3ccccc3)nc(C(=O)NCC(O)CN3CCN(c4cccc(Cl)c4C)CC3)c2C)cc1.Cl.Cl.Cl,170.0
CCCc1nc(C(=O)NCC(O)CN2CCN(c3cccc(C)c3C)CC2)c(C)n1-c1ccc(F)cc1.Cl.Cl,327.0
O=C(CCc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,138.0
Cc1c(Cl)cccc1N1CCN(CC(O)CNC(=O)c2nc(C)n(C3CCCC3)c2C)CC1.Cl.Cl.Cl,97.6
Cc1c(Cl)cccc1N1CCN(C[C@@H](O)CNC(=O)c2nc(-c3ccccc3)n(-c3ccc(F)cc3)c2C)CC1,20.1
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1,1000.0
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)CC1COc2cccc(OC)c2C1,7762.47
COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,3000.0
Cc1cccc2c1Cc1ccccc1C1CC(CN(C)C)ON21,91.2
CCN1CCC(COc2nc3ccsc3n3cccc23)CC1,8128.31
