SMILES,pXC50
C[N+](C)(C)c1cccc(OP2(=O)OCCCO2)c1,4.51
CCCCCC=CCC=CCCCCCCCC(=O)OCCCc1ccc2oc(-c3ccc4c(c3)OCO4)cc2c1,5.57
O=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,5.96
CCNC(=O)Oc1ccc2c(c1)C(N)CC2,4.75
CC(CCC(O)C(C)(C)O)C1CCC2(C)C3=CCC4C(C)(C)C(=O)CCC4(C)C3=CCC12C,4.6
CN(C)C(=O)Oc1cccc(-c2cn3c(C(F)(F)F)cccc3[n+]2C)c1,4.47
COc1cc(O)c(C(=O)C=Cc2ccc(N3CCCCC3)cc2)cc1OC,6.91364
CC1=CC2Cc3nc(O)ccc3C3(C1)C2CCCN3C(=O)CCN(C)CCCCCCCCCCN(C)CCC(=O)N1CCCC2C3C=C(C)CC21c1ccc(=O)[nH]c1C3,8.31
CCCSc1nc2nc3c(c(N)c2s1)C1CC(C)=CC(C3)C1,5.11407
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,5.62
CC1=CC2Cc3nc(O)ccc3C3(C1)C2CCCN3CCN(C)Cc1ccccc1,4.18
COc1cc2c(cc1OC)C(=O)C(Oc1cccc(CN3CCCCC3)c1)C2,6.57445
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,5.1607
C[N+](C)(C)CCOC(=O)Nc1ccncc1,3.8
CCCCCC[n+]1ccc(C=Cc2cccc3ccccc23)cc1,4.49
O=C(NCCC1CCN(CCc2ccccc2)CC1)c1ccccc1,4.89
CC(OC[n+]1ccn(C)c1C=NO)C1CCCCC1,4.59
COc1cc2cc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC,7.55284
CCN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,5.47
O=C1C(=Cc2cccc3ccccc23)CN(C(=O)C2CC3CCCN3C23C(=O)Nc2cc(Cl)ccc23)CC1=Cc1cccc2ccccc12,5.24
O=C1C(=Cc2cc[nH]c2)CN(Cc2ccccc2)CC1=Cc1cc[nH]c1,5.22
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,5.52073
O=C1C=C(NCCCCCCNCc2nc3ccccc3s2)C(=O)CC1=NCCCCCCNCc1nc2ccccc2s1,4.66
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc([N+](=O)[O-])cc3)CC1)C2,7.0
Cc1c(N2CCN(C)CC2)nc2ccccc2c1C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,8.39
C#CCNC1CCc2c(OC(=O)N(C)C)cccc21,7.28
CCCCNC(=O)OCCCCCCCCCCCCCCOC(=O)NCCCC,6.8
COc1ccc(CN2CCC(COc3ccc(C(=O)C=NO)cn3)CC2)cc1OC,5.3
CC1(CO)C(O)CCC2(C)C1CC(O)C1(C)Oc3cc(-c4ccncc4)oc(=O)c3C(=O)C21,5.10237
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,6.42022
CC(=O)Oc1cccc([N+](C)(C)C)c1C,4.39
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,8.11
CCCN(CCC)Cc1ccc(-c2ccc(CCN3CCCCC3)cc2)cc1,5.17
CN(C)Cc1ccc(CSCCNc2cccc(F)c2C#N)o1,5.68
O=C(O)c1ccc(-n2c(O)c3c(c2O)C(c2ccccc2)N(c2ccccc2)O3)cc1,7.6216
COc1ccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1OC,4.09
CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,7.52
CCN(CCCCCCC1Cc2cc(OC)c(OC)cc2C1=O)Cc1ccccc1OC,7.0
COc1cc2c(cc1OC)C(=O)C(Oc1ccc(C(=O)CCCN3CCCCC3)cc1)C2,6.28
COC1=CC(=O)C2(C)C3(O)Cc4c(cc(-c5cc(OC)c(OC)c(OC)c5)oc4=O)OC3(C)CCC2(O)C1(C)C,6.38
O=C(O)c1ccc(-n2c(O)c3c(c2O)C(c2ccccc2O)N(c2ccccc2)O3)cc1,7.6216
C[n+]1ccc(NC(=O)Nc2cccc3ccccc23)cc1,3.64
CC(C)(O)CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(C)C=C3,5.51
COc1cc(C2CC(=O)c3ccccc3O2)cc(OC)c1OC(=O)Nc1ccccc1,7.71444
CN1CCC2(C)c3cc(OC(=O)NC(C)(C)C)ccc3N(C)C12,4.64
c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,6.33
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,4.83
NCCC[n+]1ccc(C=Cc2cccc3ccccc23)cc1,3.66
CC(C)C1=NC2CCC34CC35C(=O)CC3(C)C(C(C)N(C)Cc6ccc(C(F)(F)F)cc6)C(O)CC3(C)C5CCC4C2(C)CS1,8.52288
O=C(CCC1CCN(Cc2cccc(Cl)c2)CC1)c1ccc2c(c1)CCN2,7.23
Cc1ccc(N2Oc3c(c(O)n(-c4ccc(C(=O)O)cc4)c3O)C2c2ccccc2)cc1,7.65
CN1CCC2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,7.39
Cc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CCOC1N2C,6.85
COc1cc2c(cc1OC)C(Cc1ccc(OCCCCCCN3CCCC3C)cc1)NCC2,5.35
CCc1ccc(SC(=O)OCC[N+](C)(C)C)cc1,4.3
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2C1c1ccncc1)CCC3,5.18
CC1(CO)C(O)CCC2(C)C1CC(O)C1(C)Oc3cc(-c4ccccn4)oc(=O)c3C(=O)C21,4.0
CCN(CCCCCCN1CCN(CCCCCCN(CC)Cc2ccccc2OC)C1=O)Cc1ccccc1OC,7.14026
Cc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,3.9
CCN(CCCCCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)CCc1ccccc1,6.11
CCN(CC)C(=O)C1CCN(C(=O)Nc2cccc(Cn3nc(Nc4cccc5ccccc45)ccc3=O)c2)CC1,6.9
CC(C)C1=NC2CC=C3CC4C(=O)CC5(C)C(C(C)N(C)C)C(O)CC5(C)C4CCC3C2(C)CO1,6.52433
COc1ccc2[nH]cc(C=C3CN(Cc4ccccc4)CCC3=O)c2c1,5.22
CC(=O)NC1CCC2(C)C(CCC3C2CCC2(C)C3CCC2C(C)N(C)C)C1,4.16
CC(c1cccc(OC(=O)N(C)C)c1)N(C)C,7.52
O=C1C(=Cc2ccccc2F)CN(C(=O)CC2CC3CCCN3C23C(=O)Nc2ccccc23)CC1=Cc1ccccc1F,4.46
Cc1cccc(CN2CCC(CCC(=O)c3ccc4c(c3)NCCCC4)CC2)c1,6.65
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,2.61
COc1ccc2c3c1OC1CC(O)C=CC31CCNC2,5.97
CN1CCC(CCCC2=Cc3ccccc3C2=O)CC1,9.09
c1cc[n+](CCCCCCC[n+]2cccc3ccccc32)cc1,6.27
COc1cc2c(cc1OC)C(=O)C(Oc1cccc(CN3CCOCC3)c1)C2,6.10065
C[N+](C)(CCNC(=O)C(=O)NCC[N+](C)(C)Cc1ccccc1Cl)Cc1ccccc1Cl,9.1549
CC1CCCC(C)N1S(=O)(=O)c1cc(Cl)ccc1Cl,7.12494
Nc1c2c(nc3ccc([N+](=O)[O-])cc13)CCCC2,5.52
COc1ccc2c(c1)c1ccnc(C)c1n2C,4.93
O=C(CCCCC1CCSS1)NCCNc1c2c(nc3ccccc13)CCCC2,7.01323
C=CCN1CCC2(C)c3cc(OC(=O)NC)ccc3N(C)C12,7.49485
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,5.85
CCOC(=O)c1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,4.59
CCOC(=O)C1C(C)=Nc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3,7.4437
CC1=CC2Cc3nc(O)ccc3C3(C1)C2CCCN3C(=O)CN(C)CCCCCCCCCCN(C)Cc1cccc2ccccc12,6.92
CCCN(CCC)C(=O)Cc1ccc(-c2ccc(CN3CCCCC3)cc2)cc1,4.95
O=C(C1CCCCC1)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,5.03
CCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,7.89
CCc1cc(NCCC2CCN(Cc3ccccc3)CC2)nnc1-c1ccccc1,7.57
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,10.0
C=C1CC23CC1CCC2C1(C)CCCC(C)(CO)C1CC3O,4.64
c1ccc2c(c1)NC1CCCCC1C2=NCCCCCCCCNC1CCNC2CCCCC21,8.06
CCCCNC(=O)OCCCCCCCCCCCCCCO,6.7
O=C1Oc2ccccc2CC1=NC(=O)c1ccc(Cl)cc1,4.73
C=CC(=O)N1CC(=Cc2ccccc2OC)C(=O)C(=Cc2ccccc2OC)C1,5.06
COc1cccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)c1,6.15
CN(CCOCCNC(=S)Nc1cccnc1)Cc1ccccc1,5.4
CC(NC(=O)c1cc(C(=O)NC(Cc2ccccc2)C(=O)C(O)NCCC2CCN(Cc3ccccc3)CC2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,5.95468
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,6.0
CC1CC(=O)C(C)(C)c2nc3ccccc3c(N)c2C1,6.54061
CCOc1cc2c(cc1OCC)C(=O)C(C)C2,8.2
NC(=O)c1cc[n+](COCN2C=CC(C=[N+]=O)C=C2C=NO)cc1,5.10791
COc1ccc(-c2cc3c(c(=O)o2)CC2(O)C(C)(CCC45OC(=O)C(OC)(C(=O)C24C)C5(C)C)O3)cc1,6.64
Nc1c2c(nc3ccccc13)OCCC2,6.58
CCOC(OCC)c1ccc(C=CC(=O)C=Cc2ccc(C(OCC)OCC)cc2)cc1,4.26
CCC1(O)CCC2C3CCC4=CCCCC4C3CCC21C,5.19
CC(=CCCC(C)C1CCC2(C)C3=CCC4C(C)(CCC(O)C4(C)C)C3=CCC12C)CO,4.57
CCN(CCCCCCN=C1CC(=O)C(=NCCCCCCN(CC)Cc2ccc(OC)cc2)CC1=O)Cc1ccc(OC)cc1,7.29158
Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,7.11
COc1cc2ccnc(C(O)c3ccccc3OC)c2cc1OC,5.16
COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CC3)cc1)C2,6.96
OC1CCCc2nc3ccccc3c(NCc3ccc(F)cc3)c21,4.78
COc1ccc2nc3c(c(N)c2c1)CCCC3,5.68
CCN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1OC,5.50169
COc1ccc2c3c1OC1CC(O)C=CC31CCN(CCCCOc1ccc(C(=O)N3CCCC3)cc1)C2,7.27
N#Cc1cc(C#N)c(NC2CCN(Cc3ccccc3)CC2)nc1Cl,5.27165
Oc1ccc2c(n1)CCCC2NCCCCCN=C1c2ccccc2N=C2CCCCC21,6.91364
CCN(CCCOc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1)Cc1ccccc1,4.37
O=C1NC(=S)NC(=O)C1=CNNC(=S)Nc1ccc(Br)cc1,4.2
CCN(CC)CCCCCOc1ccc2c(c1)CCC(=Cc1ccc(CN(C)Cc3ccccc3)cc1)C2=O,7.25181
CCC1=CC2Cc3nc4cc(F)cc(F)c4c(N)c3C(C1)C2,8.75
