SMILES,pXC50
CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,9.8729
O=C(CCCN1CCC(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,8.38
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,9.0
CCCN(CCCc1ccccc1OC)C1CCc2ccc3[nH]ccc3c2C1,8.0
COc1ccccc1N1CCN(CCCCNC(=O)c2cc(C)ccc2C)CC1,8.33
CC(C)OCc1ccc2n1C=C(N1CCN(C)CC1)c1ccccc1S2,6.56
CCCN1CCCC2CC3C(=O)CCCC3=CC21,6.89
Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6c(cc5CC4)C(=O)N(C)C6)n3C)cccc2n1,6.6
Fc1ccccc1N1CCN(Cc2cccs2)CC1,5.72148
CCCN(CCC)C1CCc2nc(N)sc2C1,8.72
CN(CCN1CCN(c2ccc3c(c2)OCO3)C1=O)CC12CCC(CC1)C2(C)C,7.3
C=CCN1CCOC(c2cccc(O)c2)C1,5.88207
CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2c(O)cccc2C1,9.08355
Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,6.90001
Clc1ccc(N2CCN(Cc3cn4nc(N5CCCCC5)ccc4n3)CC2)cc1Cl,6.07058
CC(=O)NC1CCC(CCN2CCC(Cc3cccc(C(F)(F)F)c3)CC2)CC1,8.48
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,8.4437
O=C(NC1CCC(CCN2CCN(c3ccccc3Cl)CC2)CC1)C1CCCCC1,8.3
CN1CCN(C2=Cn3cccc3Sc3sccc32)CC1,7.6
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)oc6c(C)c5CC4)n3C)cccc2n1,7.40001
CN(C)CC1CC2c3ccccc3Cc3ccccc3C2O1,7.08
COc1ccccc1N1CCN(Cc2c(C)[nH]c3nc(N(C)C)ncc23)CC1,6.4
Cc1ccc(Cn2ncc(N3CCNCC3)c(Cl)c2=O)cc1NC(=O)c1ccc(-c2ccccc2)cc1,6.11
COc1cccc(C(=O)NCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,6.23
O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ccc(Cl)cc2)CC1,6.54212
c1ccc(CNCC2CCc3ccc4[nH]ccc4c3O2)cc1,7.47
Cc1nc(C)c(-c2nnc(SCCCN3CCC4(CCc5ccc(F)cc54)C3)n2C)s1,7.3
Cc1cnc(-c2nnc(SCCCN3CC4CC4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,9.2
CCCN(CCC)CC1CCc2sccc2C1,6.61
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.98
COc1c(C(=O)NCC2CCCN2C2CCC2)cc(Br)c2ccccc12,8.72
O=[N+]([O-])c1cccc(-c2cc(CCCCN3CCN(c4ccccc4)CC3)on2)c1,7.22
N#Cc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4o3)CC2)c1,9.27
COc1cccc2c1CCCC21CCN(CCCSc2nnc(-c3ocnc3C)n2C)C1,7.10002
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,6.54
FC(F)(F)c1ccc2c(c1)N(Cc1ccc(CN3CCN(c4ncccn4)CC3)cc1)c1ccccc1S2,5.6
Clc1ccc(N2CCN(Cc3cn4nc(Cl)ccc4n3)CC2)cc1,5.11351
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(F)cc1,9.28
COc1ccc2[nH]c3c(c2c1)CCN(C)CCc1ccccc1C3,6.32331
C1=CN(Cc2ccccc2)CCC1c1nc2ccccc2o1,5.35
O=C(CN1CCN2c3ccccc3CCC2C1)c1ccc(F)cc1,5.13
COCc1ccc2n1CC(N1CCN(C)CC1)c1cc(Cl)ccc1S2,6.5
CCCN(CCCCN1CCN(c2ccccc2)CC1)C1CCc2nc(N)sc2C1,7.91
CCCN1CCCC(c2cccc(OS(C)(=O)=O)c2)C1,6.01
Cc1cc(-c2ccccc2)n(C2CCN(Cc3ccccc3)CC2)n1,5.52
c1ccc(CCCNCCCOc2ccccc2)cc1,7.77
Cc1ccc2c3c(ccc2n1)OCC(CN1CCN(c2ccc4cc(C#N)ccc4n2)CC1)O3,5.88074
COc1ccccc1N1CCN(CC=CCNC(=O)c2cc(Br)cc(OC)c2OCCF)CC1,7.86012
COc1cccc2[nH]cc(CN3CCC(n4c(O)nc5ccccc54)CC3)c12,6.88
COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1ccccc1,7.1
CCCN(CCC1CCC(NS(=O)(=O)c2ccc(Cl)nc2)CC1)C1CCc2nc(N)sc2C1,9.2
O=C(NCCCCN1CCCC2c3cccc(O)c3CCC21)c1ccc(-c2ccccc2)cc1,9.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6c(cc5CC4)OCCN6)n3C)cccc2n1,8.10018
O=S(=O)(Nc1ccc(C23CNCC2C3)cc1)c1ccc(OC(F)(F)F)cc1,6.2
O=c1c2ccccc2ncn1CCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,6.9914
N#CCCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4ncccn4)cc23)CC1,6.17
Cc1ccc(CCCNCCCOc2ccccc2)cc1,6.46
Oc1ccccc1N1CCN(Cc2cnn3ccccc23)CC1,5.66
Cn1c(CN2CCC(c3ccccc3F)CC2)nc2ccccc21,7.0
FC(F)(F)c1cccc(N2CCN(CCCCNc3ccc4ccccc4n3)CC2)c1,7.28
COc1ccccc1N1CCN(CCCCN2CCc3cc(-c4cccs4)ccc3C2=O)CC1,9.92082
O=C(c1ccco1)N1CCN(CCCCOc2ccc(F)cc2)CC1,6.0
Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1,6.7
Clc1cccc(N2CCN(CCCCOc3cc4ccccn4n3)CC2)c1Cl,8.46
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,6.0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3CC4=C(Cc5c(Br)[nH]c6cccc4c56)N(C)C3)(C(C)C)C(=O)N12,9.69
Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cc5ccccc5[nH]4)n2C)CC3)o1,8.9
CCCN1CCCC2c3cccc(O)c3CCC21,7.02
CCCN(CCCCNC(C)=O)C1Cc2ccccc2C1,6.39
FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1,6.45
C(=CCn1c(-c2ccc(OCCCN3CCCC3)cc2)nc2ccccc21)Cn1c(-c2ccc(OCCCN3CCCC3)cc2)nc2ccccc21,8.05
COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccsc2)CC1,9.19
CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,6.92
N#Cc1cc(CN2CCN(c3ccccc3)CC2)c[nH]1,6.14
CCC(=O)Nc1cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)C2)cc1Cl,8.23
Cc1cc2nc(C)c(CN3CCN(c4ccc(Cl)cc4)CC3)n2c(C)n1,5.51
CCCN(CC=CI)C1CCc2cc(O)ccc2C1,8.66
COCC1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,7.10002
CCCN(CCN1CCN(c2ccc(-c3ccncc3)cc2)CC1)C1CCc2ccc(O)cc2C1,9.11
CN(CCCC12CCC(c3ccccc31)c1ccccc12)Cc1ccc(OCCCN2CCCCC2)cc1,6.83
O=C1N(CC2CCCCN2)CCN1c1cccc(C(F)(F)F)c1,9.6
Fc1ccc(CCCCN2CCN(c3ccc(Cl)cc3)CC2)cc1,6.58336
O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)C1CCCCCC1,8.32
COc1c(C(=O)NCCN2CCN(c3ccccc3)CC2)cc(Cl)c2ccccc12,7.3
c1ccc(CN2CCC(n3ccc(-c4cnco4)c3)CC2)cc1,5.17
OC1(c2cccc(Cl)c2Cl)CCN(Cc2c[nH]c3ccccc23)CC1,6.63451
CCCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21,7.21
CCCN1CCC2c3c(ccc4ccoc34)CCC21,6.4908
NC1CCc2cc(O)c(O)cc2C1,7.64975
CCCN(CCC)C1CCc2cccc(O)c2C1,6.75
COc1ccc2c(c1)CCN(C)CCc1ccccc1C2,7.1209
Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,6.0
Cc1ccc(C(=O)NCN2CCN(c3ccccc3Cl)CC2)cc1,7.31
COc1cccc(C(=O)NCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,9.39
COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2ccc3ccccc3c2)CC1,7.10237
Fc1ccccc1N1CCN(CCCCNc2ccc(-c3ccccc3)cn2)CC1,6.91364
O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2cc(F)c(F)cc2F)CC1,7.64
CCN(CC)C(=S)SSC(=S)N(CC)CC,6.43
COc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)cc1,8.7
C#CCN(CCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2nc(N)sc2C1,8.15
OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2CCCOc1ccc(F)cc1,8.39
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C(F)(F)F)cc5)C4)n3C)cccc2n1,9.60033
c1cnc(N2CCN(Cc3c[nH]c4ncccc34)CC2)nc1,5.82391
CC1CN(Cc2ccc(CN3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)CC(C)O1,5.52
OC(COc1ccccc1)CN1CCC(Oc2ccccc2)CC1,6.34
OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2Cc1c[nH]c2ccccc12,7.91
C#Cc1cccc(C(=O)NCCCCCN2CCN(c3ccccc3OC)CC2)c1,6.73
Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1,4.73
CCCN(CCC)C1CCc2ccc3[nH]cc(Cl)c3c2C1,7.82
Cc1ccc(OCCCNCCOc2ccc(C)cc2)cc1,6.63001
Cn1c(SCCCN2CCC3CC3(c3ccc(C(F)(F)F)cc3)CC2)nnc1-c1ccnnc1,8.40012
COc1ccccc1N1CCN(CCCOc2ccc3ccc(O)nc3c2)CC1,8.24413
CCOC(=O)C1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,6.14026
Cc1ccc(OCCNCCCSc2ccccc2)cc1,7.25
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccn4C)n2C)CC3)no1,9.10018
CCN1CCc2c(sc3ccccc23)C(c2cccc(Br)c2)C1,5.7
O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(Cl)c1,8.80134
COc1cccc(C(=O)NCCN2CCN(c3ccccc3Cl)CC2)c1,6.84
COc1ccccc1N1CCN(CC=CCNC(=O)c2ccc(OCCOCCF)cc2)CC1,7.74
CCN1CCC2=C(CCc3ccccc32)C1,6.74
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3cc(I)ccc3o2)CC1,9.14267
