SMILES,pXC50
Cc1ccc(C=CC(=O)CC(=O)c2ccccc2O)cc1,5.42366
Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O,7.06
C#CCN(CCC1CCN(Cc2ccccc2)CC1)Cc1ccc(O)c2ncccc12,4.3
COc1ccc(C=NNc2nc(-c3ccc(Cl)cc3)cs2)cc1,3.82
COc1ccc(C=C2COc3ccccc3C2=O)cc1O,6.32193
Cc1cccc(COc2ccc3occc(=O)c3c2)c1,7.72125
Fc1ccccc1-c1nc2ccc(N3CCCCC3)nc2o1,6.18
Cn1c(=NN=C(C=Cc2cccc(Cl)c2)c2ccccc2)[nH]c2ccccc2c1=O,6.8
Cc1ccc(NC(=S)N2N=C(c3ccccc3O)CC2c2ccc(O)cc2)cc1,4.34
Cn1c(=O)c2c(cc(C=Cc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,6.32
NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Cl)cc1,4.4
O=C(O)c1cc2ccccc2oc1=O,7.76
Cc1ccc(C=C2COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,5.91
C#CCNC1CCc2c(OC(=O)N(C)C)cccc21,4.07
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,7.96
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,4.82
C#CCN(C)CCc1cccc(O)c1,5.19
Cn1c(=NN=C(C=Cc2ccc(Br)cc2)c2ccccc2)[nH]c2ccccc2c1=O,4.16
COc1ccc(C=C2COc3cc(OCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,6.36
O=C(Nc1cccc(C(F)(F)F)c1)c1cc2cc(Br)cc(Br)c2oc1=O,5.15
O=C1NC(=O)c2cc(Oc3ccccc3)ccc21,5.97
CC=C1CC(=O)Oc2cc(OCc3cccc(Cl)c3)ccc21,7.54
CCn1c(=O)c2c(nc3n2CCCN3CCc2cccc(OC)c2)n(CC)c1=O,4.69
O=C1c2ccccc2-c2nn(-c3ccccc3)c(=O)cc21,4.42
CC(C#N)=C1CCN(c2ccc(N3CC(Cn4cc(F)nn4)OC3=O)cc2F)CC1,4.73
Cc1ccc2oc(=O)c(-c3ccccc3Br)cc2c1,5.37
COc1cccc(C=CC(=O)c2ccco2)c1,5.49485
N#Cc1ccc(SCc2ccc(F)cc2)cc1C#N,7.47
Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12,7.88008
CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,4.38
Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,6.85
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,5.4
CCCCOc1ccc2oc(=O)c(CNCC)cc2c1,5.1343
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccs2)n(C)c1=O,5.02
CSc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,5.55
C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,9.11351
c1ccc2c(c1)[nH]c1cnccc12,5.92
NC(=O)Cc1cc(=O)oc2cc(OCc3cccnc3)ccc12,5.89
NC(=O)N1N=C(c2ccccc2)CC1c1ccncc1,5.32
c1ccc(-c2nc3ccc(N4CCCCC4)nc3s2)cc1,6.45
C#CCN(C)C(C)Cc1ccc(OCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,5.62
CC1CCCC(=NNc2nc(-c3ccc4ccccc4c3)cs2)C1,4.96
CCOC(=O)N=C1Cc2ccccc2OC1=O,4.48
O=C1CCc2cc(OCc3ccccc3)ccc2N1,5.4
O=C(NCCCN1CCOCC1)c1cc2ccccc2oc1=O,4.87
CC(=NNc1nc(-c2ccc3ccccc3c2)cs1)C1CCCCC1,3.82
O=C(O)c1cc2ccccc2cc1O,7.76
CC(=O)c1ccc(Cc2sc(N)nc2O)cc1,3.51
COc1cccc(-c2csc(NN=C3CCCCC3)n2)c1,7.5
C#CCN(Cc1ccc(O)c2ncccc12)CC1CCN(Cc2ccccc2)CC1,4.71
O=c1ccc2ccc(OS(=O)(=O)c3ccccc3)cc2o1,4.26
O=C1Oc2ccccc2CC1=NC(=O)c1ccc(Cl)cc1,5.71
Cc1c(C)c2cc(O)c(OCc3ccccc3)cc2oc1=O,7.55006
O=C1NC(=O)c2cc(SCc3ccc(F)cc3)ccc21,8.17
C(=NNc1nc2ccccc2nc1Cc1ccccc1)c1ccc2c(c1)OCO2,4.06
CN1N=C(c2ccc(O)cc2O)CC1c1ccccc1,3.82
O=C(CCCCc1ccc2c(c1)OCO2)N1CCCCC1,5.71
O=C(C=Cc1ccc(Cl)cc1)c1ccc(O)cc1O,8.3
Fc1ccc(-c2csc(NN=Cc3ccccc3)n2)cc1,6.1
CN(C)C=C1CC(=O)Oc2cc(OCc3ccccc3)ccc21,5.74473
NC(=O)C(NCc1ccc(OCc2ccccc2)cc1)c1ccccc1,4.13
COc1cc(C=Cc2ccc(NCc3cc(N(C)C)ccc3O)cc2)cc(OC)c1,4.92
CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,8.10018
CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccc(Cl)cc1,4.81
CCCCOc1ccc(C2CNC(=O)CS2)cc1,6.8
O=C(O)c1coc2ccc(Cl)cc2c1=O,3.0
Cn1c(=O)c2c(nc3n2CCCN3c2cccc(Cl)c2)n(C)c1=O,5.30452
Cc1c(C)c2ccc(OCc3nc(C(C)C)no3)cc2oc1=O,8.89
CCOC(=O)C=Cc1ccc(O)c(OC)c1,5.17
NC1=NC(=O)C(Cc2c[nH]c3cc(Br)ccc23)=N1,4.6
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CCC1CCN(Cc2ccccc2)CC1,5.92082
COc1ccccc1NC(=O)c1cc2cc([N+](=O)[O-])ccc2oc1=O,4.3
Cn1c(=O)c2c(nc(OCCCc3ccccc3)n2C)n(C)c1=O,6.35
CN=CC1CC(=O)Oc2cc(OCc3ccccc3)ccc21,7.55284
O=c1oc2ccccc2cc1-c1cccs1,5.2
COc1cc(C=Cc2ccc(OCCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1,4.39
CC(C)CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,4.99
COc1cc(C=CC=CC(=O)c2ccccc2O)ccc1O,6.3
Cc1sc(NN=Cc2cccs2)nc1-c1ccccc1,5.52
Cc1sc(NN=C2CCCCCCC2)nc1-c1ccccc1,5.64
CC(C)OC(=O)N=C1Cc2ccccc2OC1=O,5.18
CNc1cncc(N(C)C)c1CN,3.6
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,5.42481
CC(=O)c1cc2cc(Cl)cc(Br)c2oc1=O,6.85387
C#CCN(C)C1CCc2ccc(O)cc21,7.7
Cc1cc(=O)oc2cc(OCC=CC3=CC(=O)C(C)(C)O3)ccc12,6.77
O=C(C=Cc1ccc(O)cc1)C=C(O)c1ccccc1O,7.57741
Cn1c(=O)c2c(nc(SCCCc3ccccc3)n2C)n(C)c1=O,6.30103
Nc1nnc2c3ccccc3n(Cc3ccccc3)c2c1-c1ccccc1Cl,4.45
O=c1oc2ccccc2cc1-c1ccsc1,4.88
COc1cc(NC(C)CCCN)c2nccc(C)c2c1Oc1ccc(F)c(F)c1,5.44
CN1C(=N)N(C)C(=Cc2c[nH]c3ccccc23)C1=O,5.0
CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccccc1,4.52
CC1(C)OC(C=CCOc2ccc3ccc(=O)oc3c2)=CC1=O,7.55006
Cc1ccc(Nc2ncc3c(n2)CC(C)CC3=O)cc1,8.41
CN1CCN(C(=O)C=CC=Cc2ccc3c(c2)OCO3)CC1,6.02
CSCOc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12,6.5
Cn1c(=O)c2c(nc(OCC3CCCC3)n2C)n(C)c1=O,4.93
Cn1c(=O)c2c(nc(OCC3CCCCC3)n2C)n(C)c1=O,6.0
N=CC1CC(=O)Oc2cc(OS(=O)(=O)c3cccc(Cl)c3)ccc21,5.48149
COC(=O)c1cc2ccc(OCCc3ccc(Cl)cc3)cc2oc1=O,8.85078
O=C(Nc1ccc(O)cc1)c1coc2ccccc2c1=O,7.19382
Clc1ccc(OCCCN2CC=CCC2)c(Cl)c1,4.18
Cn1c(CNc2ccccc2)cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc21,4.0
Cn1c(N2N=C(c3ccccc3)CC2c2ccc(Br)cc2)nc2ccccc2c1=O,4.98
CN(C)c1ccc(C=C2Oc3ccccc3C2=O)cc1,7.00436
COc1ccccc1NC(=S)N1N=C(c2ccccc2O)CC1c1ccc(O)cc1,3.84
O=C(NCc1ccccc1)c1cc2ccccc2oc1=O,5.71
NC(=S)N1N=C(c2ccco2)CC1c1ccc(F)cc1,8.58
Cc1cc2c(nn1)-c1cc(OCc3cccc(Cl)c3)ccc1C2=O,6.96
COC(=O)c1cc2cc(OCc3cccc(Cl)c3)ccc2oc1=O,7.50169
CNC(=S)N1CC(C)C(c2ccc(Cl)cc2)=N1,4.46
CCCNC(=O)c1coc2ccccc2c1=O,4.42
N#Cc1ccc(COc2ccc3occc(=O)c3c2)cc1,7.66
O=C(C=Cc1ccco1)c1ccc(F)cc1,5.12
c1ccc2cc(C3=NCCN3)ccc2c1,5.83
COc1cc(C=Cc2ccc(OCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1,4.79
