SMILES,pXC50
CC1CNCC2Cc3ccc(C#N)cc3N12,6.96
COc1cc(CCCCCc2ccccc2)ccc1CCN,7.74
CC(C)N1CCN(CCN(C)CCOc2cn(-c3ccc(F)cc3)c3cc(Cl)ccc23)C1=O,8.2
N#CNC(=NCCCN1CCN(c2cccc3ccccc23)CC1)c1ccncc1,6.76
N#CN=C(NCCCN1CCN(c2cccc3ccccc23)CC1)c1ccncc1,6.76447
CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,7.38
COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I,1.0
CC(C)OCc1ccc2n1C=C(N1CCN(C)CC1)c1ccccc1S2,6.66
O=C(c1ccc(F)cc1)C1CCNCC1,6.28
OC(c1ccc(F)cc1)C1CCN(CCc2cccc(I)c2)CC1,7.88
CN1CCC(N(C)S(=O)(=O)c2ccc(F)cc2)CC1,5.23
CCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,6.42481
Cc1cccc(CN2CCC(NC(=O)c3cccc4ccccc34)CC2)c1,5.79
CCN(CCCCN1CCC2CCCCC2C1)S(=O)(=O)c1cnc2ccccc2c1,5.29303
CN1CC(COC(=O)C2CC2)Cc2c1cc1c[nH]c3c1c2C=CC3,9.13
O=[N+]([O-])c1ccc2ncnc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)c2c1,5.42274
CN1CCN(C2=Cn3cccc3Sc3sccc32)CC1,8.67
CN(C)CC1CC2c3ccccc3Cc3ccccc3C2O1,6.99
CC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,10.0
Cc1ccc(Cn2ncc(N3CCNCC3)c(Cl)c2=O)cc1NC(=O)c1ccc(-c2ccccc2)cc1,8.67
Cc1nc(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)cc(C(C)C)n1,6.31
CNCc1ccccc1Oc1ccc(C)c(C)c1,7.18
COc1cccc(OC)c1C(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,7.86012
Cc1cc(Cl)c2c(c1)C1CNCC1NC2=O,6.66354
O=S(=O)(c1ccccc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,9.17
Cn1nccc1-c1cc(NC(=O)c2ccc(C(F)(F)F)cc2)ccc1OCCN1CCCC1,8.72125
c1ccc2c(c1)cc1n2CCNC1,6.2
OCC1(Cc2ccc(Cl)cc2)CCN(CCCc2ccccc2)CC1,4.12
CC1CN2C(=O)c3ccccc3CC2CN1,5.76
CC1CNCCc2cc(F)c(Cl)cc21,7.14267
c1ccc(N2CCN(CCCCCCN3CCN(c4ccnc5ccccc45)CC3)CC2)cc1,7.47
Cn1c(=O)c2c(nc3n(CCCN4CCN(c5cccc(Cl)c5)CC4)ccn23)n(C)c1=O,7.04
CC(C)n1nc(C(=O)NCC2CCN(CCC3CCCCC3)CC2)c2ccccc21,6.0
O=C1C(=Cc2cccs2)c2ccccc2N1CCCN1CCN(c2cccc(Cl)c2)CC1,6.86012
Oc1c2c(c(O)n1OCCCN1CCN(c3ccccc3Cl)CC1)C1C=CC2C1,5.41
CN1CCN(c2nccc(-c3ccco3)n2)CC1,6.13
COc1cc2c(c(OC)c1OC)CCC2CN,5.95078
O=C(CCCN1CCN(CCC2Cc3sccc3C2=O)CC1)c1ccc(F)cc1,7.63
COc1ccccc1N1CCN(CCCN(CC2CCCCC2)S(=O)(=O)c2cccc3cccnc23)CC1,7.22257
FC(F)(F)c1ccc2c(c1)N(Cc1ccc(CN3CCN(c4ncccn4)CC3)cc1)c1ccccc1S2,5.18
c1ccc(C2Oc3ccccc3OC2COCCCN2CCC(c3nc4ccccc4o3)CC2)cc1,8.39
Cn1c2c(c3ccccc31)CN(CCCOc1ccc([N+](=O)[O-])cc1)CC2,6.55
O=S(=O)(c1ccc(C=Cc2ccc(F)cc2Cl)nc1)c1ccccc1F,8.74473
Cc1ncccc1Oc1ccc(NC(=O)N2CCc3ccc(Cl)cc32)cn1,6.50031
CN(C)CCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,6.5817
COCc1ccc2n1CC(N1CCN(C)CC1)c1cc(Cl)ccc1S2,6.39
c1ccc(N2CCN(CCCSc3nc4ccccc4o3)CC2)nc1,6.76
CC(=C1CCN(C)CC1)c1ccccc1,6.45
O=S(=O)(c1cccc2ccccc12)N(CCCN1CCN(c2ccccc2)CC1)CC1CC1,6.77
Cn1cc(Br)c(C(=O)N2CCN(CCc3ccc(F)cc3F)CC2)n1,8.96
COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1ccccc1,7.19
Fc1ccc(-c2nc(Cc3ccccc3)nc3c2CCCNC3)cc1,8.06
CN1CCc2cc(Cl)c(O)cc2C(c2cccc(Br)c2)C1,8.07
COc1cccc(C2CC2CN)c1,6.21254
O=C(c1ccc(F)cc1)C1CCN(CCC2CCc3sccc3C2=O)CC1,9.02
CN(CCCCN1CCN(c2nsc3ccccc23)CC1)C(=O)c1nsc2ccccc12,7.89
CNCCC(c1ccccc1)c1ccccc1,5.82449
Oc1ccc(C2=CCNCC2)cc1O,7.62
CN1CCN(c2nc(-c3ccoc3)cc(-c3ccco3)n2)CC1,7.89
CCOC(=O)c1oc2c(c1C)C(=O)CC(CN1CCC(C(=O)c3ccc(F)cc3)CC1)C2,7.66
O=C1CC(c2ccccc2)c2ccc(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2O1,6.25267
O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,10.0
COc1cc(CC(C)N)ccc1CCCc1ccccc1,7.77
