Smiles,IC50,pIC50
Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1.Cl,25118.86,-4.399999925393822
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,50000.0,-4.698970004336019
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,30.0,-1.4771212547196624
COc1cc2cc(C(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],19580.0,-4.291812687467119
CN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1.Cl,361.0,-2.5575072019056577
CN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1F.Cl,525.0,-2.720159303405957
CN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1cccc(Cl)c1.Cl,1189.0,-3.0751818546186915
Nc1c2c(nc3cc(Cl)ccc13)CCCC2,1.8,-0.25527250510330607
Nc1c2c(nc3cc(Cl)ccc13)C1CCC2C1,4.5,-0.6532125137753437
COc1ccc2c(c1)c1ccncc1n2C,10000.0,-4.0
Cn1c2ccc(O)cc2c2ccncc21,10000.0,-4.0
CCc1nnc(NC(=O)C2(CCC(=O)O)CCCC2)s1,3000.0,-3.4771212547196626
CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCN2CCOCC2)c1,21.1,-1.3242824552976926
Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,120.0,-2.0791812460476247
Cc1ccc2c(N)c3c(nc2c1)CCCC3,100.0,-2.0
CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1.O=C(O)C(O)C(O)C(=O)O,760.0,-2.8808135922807914
CN1C(=O)Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21.CS(=O)(=O)O,0.48,0.3187587626244128
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],91.0,-1.9590413923210936
COc1ccc2cc(C(=O)N[C@@H](CCC(=O)NCCC3CCN(Cc4ccccc4)CC3)C(=O)O)ccc2c1,15200.0,-4.181843587944773
CCN(CC)c1ccc(/C=C/c2cc(N3CCN(CCO)CC3)c3ccccc3[n+]2C)c(O)c1.[I-],5000.0,-3.6989700043360187
CN(C(=O)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)c1ccccc1Cl,50000.0,-4.698970004336019
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cc(Cl)c4ccccc4n3)CC1)C2,10000.0,-4.0
CN1CCN(Cc2ccc3c(c2)C(=O)C(=O)N3C(=O)c2ccccc2)CC1,47.86,-1.6799726942774185
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,50.12,-1.7000110623221123
C#CCN(C)C1CCc2ccc(OC(=O)N(C)CC)cc21.Cl,1300000.0,-6.113943352306837
COc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1,1780.0,-3.250420002308894
C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C([C@H](C)N(C)C)=CC[C@@H]32)C1)C(C)C,6165.95,-3.7899999986888777
CCCCCCNC(=O)Oc1ccc2c(c1)C1CCN(C)C2C1,72.0,-1.8573324964312685
Nc1c2c(nc3cc([N+](=O)[O-])ccc13)CCCC2,28.0,-1.4471580313422192
CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC,28300.0,-4.451786435524291
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,100000.0,-5.0
CCCOc1ccccc1CN(CC)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OCCC,33.88,-1.5299434016586693
Nc1c2c(nc3ccccc13)CCCC2,90.0,-1.9542425094393248
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,600.0,-2.7781512503836434
Cl.Cl.Cl.Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,50.0,-1.6989700043360187
Cl.Cl.Cl.Cl.O=C(NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,7.03,-0.846955325019824
COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3coc([N+](=O)[O-])c3)cc1)C2.[I-],4.5,-0.6532125137753437
CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)[C@@H](C)c2ccccc2OC)=CC1=O)[C@H](C)c1ccccc1OC,11000.0,-4.041392685158225
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,3030.0,-3.481442628502305
O=C1/C(=C/c2cccc3ccccc23)CN(C(=O)[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2cc(Cl)ccc23)C/C1=C\c1cccc2ccccc12,5810.0,-3.7641761323903307
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31[C@H](O)CN(C)C2,1610.0,-3.2068258760318495
CC(C)(C)c1cc[n+](Cc2cccc(C[n+]3ccc(C(C)(C)C)cc3)c2)cc1.[Br-].[Br-],700.0,-2.845098040014257
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21.Cl,1020000.0,-6.008600171761918
Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2,40.0,-1.6020599913279625
CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1C)Cc1ccccc1C,16.6,-1.2201080880400552
CCN(CCCCCCNC1=CC(=O)C(NCCCCCCNC(=O)CCCCC2CCSS2)=CC1=O)Cc1ccccc1OC,100.0,-2.0
O=C1/C(=C/c2cccc3ccccc23)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1cccc2ccccc12,6760.0,-3.829946695941636
COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,170.0,-2.230448921378274
CC(=O)N(C)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C,50118.72,-4.699999970860912
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,1100.0,-3.041392685158225
CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,500.0,-2.6989700043360187
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],0.043,1.3665315444204136
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCNCC2,25.12,-1.4000196350651586
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,2400.0,-3.380211241711606
O=C1/C(=C/c2ccc(F)cc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccc(F)cc1,19840.0,-4.29754166781816
Cc1ccc(/C=C2\CN(C(=O)C[C@H]3C[C@H]4CCCN4[C@]34C(=O)Nc3ccccc34)C/C(=C\c3ccc(C)cc3)C2=O)cc1,20070.0,-4.302547372487486
O=C1/C(=C/c2ccc(Cl)cc2Cl)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccc(Cl)cc1Cl,4110.0,-3.6138418218760693
C=CC(=O)N1C/C(=C\c2ccc(F)cc2)C(=O)/C(=C/c2ccc(F)cc2)C1,15120.0,-4.179551791165188
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2C,9890.0,-3.9951962915971793
O=C(NCCc1c[nH]c2ccccc12)c1cc[n+](Cc2ccccc2)cc1.[Br-],4200.0,-3.6232492903979003
COc1ccc2[nH]cc(CCNC(=O)/C=C/c3cc[n+](Cc4ccccc4F)cc3)c2c1.[Br-],260.0,-2.4149733479708178
