Smiles,IC50,pIC50
Cc1cccc(-c2ccc(C(=O)NC/C=C/CN3CCN(c4cccc(Cl)c4Cl)CC3)cc2)n1,6.7,-0.8260748027008264
CN(C)CCn1cc(S(=O)(=O)c2cccc3ccccc23)c2cccnc21,1558.0,-3.1925674533365456
O=C(NC/C=C\CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,6.0,-0.7781512503836436
Cc1ccc2c(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c[nH]c2c1,10000.0,-4.0
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,97.0,-1.9867717342662448
Cc1ccc2[nH]cc(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2c1,10000.0,-4.0
COc1ccc(C(=O)NC/C=C/CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,4.79,-0.6803355134145632
O=C(NCCC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(I)ccc2o1,217.0,-2.3364597338485296
CN1CCN(c2cccc(N(CC3CC3)S(=O)(=O)c3ccc4ccccc4c3)c2)CC1,1426.0,-3.154119525515847
OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,90.4,-1.9561684304753633
O=C(NCC(O)CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[nH]1,25.7,-1.4099331233312946
COc1ccccc1N1CCN(CC(O)CCNC(=O)c2cc3ccccc3s2)CC1,39.1,-1.5921767573958667
O=C(NCCC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[nH]1,30.0,-1.4771212547196624
CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,6.6,-0.8195439355418687
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,436.0,-2.639486489268586
O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,7.71,-0.887054378050957
CNCCCC12CCC(c3ccccc31)c1ccccc12,645.0,-2.8095597146352675
Clc1ccc(CN2CCO[C@H](CCc3ccccc3)C2)cc1,20000.0,-4.301029995663981
Cc1cc(N(C)CCN(C)C)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,2300.0,-3.361727836017593
CCCC(C(=O)c1ccc(OC)cc1)N1CCCC1,10000.0,-4.0
CN1CCN(c2ccc3c(c2)N(S(=O)(=O)c2ccc4ccccc4c2)CCC3=O)CC1,1300.0,-3.113943352306837
CC(C)N(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1cccc2ccccc12,1195.0,-3.0773679052841567
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,20.0,-1.3010299956639813
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,2326.0,-3.3666097103924297
Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,80.0,-1.9030899869919435
CCc1cc(Cl)c(OC)c(N2CCN(CC(O)CCNC(=O)c3cc4ccccc4o3)CC2)c1,950.0,-2.9777236052888476
COc1ccccc1N1CCN(CC(F)CCNC(=O)c2ccc(-c3ccccn3)cc2)CC1,390.0,-2.591064607026499
O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[nH]1,520.0,-2.716003343634799
CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,1000.0,-3.0
CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CCN(Cc2ccc(F)cc2)C[C@H]1C,1000.0,-3.0
O=C(OC1CCc2ccccc21)N1CCC2(CC1)C(=O)NCN2c1ccccc1,3180.0,-3.5024271199844326
CCC1CC(=O)c2c(N3CCN(C)CC3)cccc2N1S(=O)(=O)c1ccc2ccccc2c1,623.0,-2.7944880466591697
COc1ccc2oc(C(=O)NCCC(F)CN3CCN(c4cccc(Cl)c4Cl)CC3)cc2c1,1430.0,-3.155336037465062
COc1ccccc1N1CCN(CC(F)CCNC(=O)c2cc3ccccc3[nH]2)CC1,820.0,-2.9138138523837167
O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,17.0,-1.2304489213782739
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCC2CCN(C(=O)c3ccccc3F)CC2)C1,10000.0,-4.0
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cnc2ccccc2n1,26.8,-1.428134794028789
O=C(NCCC(O)CN1CCN(c2cccc3ccccc23)CC1)c1cnc2ccccc2c1,72.0,-1.8573324964312685
FC(F)(F)Oc1ccc(CN2CCO[C@H](CCc3ccccc3)C2)cc1,8170.0,-3.9122220565324155
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.671,-0.6694098672877827
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,7747.0,-3.889133555966724
Cc1ccc2c(c1)N1OC(CN(C)C)CC1c1ccccc1C2,1000.0,-3.0
CN(C)CC1CC2c3ccccc3Cc3ccncc3N2O1,1659.59,-3.220000809286663
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,12.0,-1.0791812460476249
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,44.0,-1.6434526764861874
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,139.0,-2.143014800254095
CN(C)CCCN1c2ccccc2Sc2ccccc21,205.0,-2.311753861055754
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,137533.0,-5.138406916336258
