Smiles,IC50,pIC50
CC(C)/N=C1/CCc2c1n(C)c1ccccc21,1000000.0,-6.0
Cn1c(=O)c2c(nc(OCc3ccccc3)n2C)n(C)c1=O,1240.0,-3.093421685162235
Cn1c(=O)c2c(nc(OCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,3720.0,-3.5705429398818973
CCc1ccc(NC(=S)N/N=C/c2ccc(-n3nc4c(c3C)N(C)S(=O)(=O)c3ccccc3-4)cc2)cc1,2910.0,-3.4638929889859074
O=C(CCCc1ccccc1)Nc1nc2cc(Cl)ccc2c(=O)s1,76.4,-1.88309335857569
O=C(CCCc1ccccc1)Nc1nc2ccc(Cl)cc2c(=O)s1,10000.0,-4.0
O=C(COc1cccc(Cl)c1)Nc1nc2ccccc2c(=O)s1,1.63,-0.21218760440395779
C#CCN(C)[C@H](C)Cc1ccccc1,20.0,-1.3010299956639813
c1ccc(C2C[C@@H]2NCc2ccccn2)cc1,11000.0,-4.041392685158225
Cl.NCC1CC1c1ccccc1,33.0,-1.5185139398778875
CC(=O)c1cc2cc(Cl)cc(Br)c2oc1=O,140.0,-2.146128035678238
O=C(NNc1ccccc1)c1cc2ccccc2oc1=O,4520.0,-3.655138434811382
CCOC(=O)c1cc2cc(O)ccc2oc1=O,10060.0,-4.002597980719909
CCOC(=O)c1cc2ccc(N(CC)CC)cc2oc1=O,45520.0,-4.658202253387015
NNC(=O)c1cc2ccccc2oc1=O,3.22,-0.5078558716958309
CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,82.0,-1.9138138523837167
O=C1Nc2ccccc2C1=O,18750.0,-4.273001272063738
Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O,1.38,-0.13987908640123647
O=c1ccc2ccc(COc3ccccc3)cc2o1,64.57,-1.8100307864058394
C[C@H](O)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](C)N)C(=O)N[C@@H](CCCCNC1CC1c1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)O,100000.0,-5.0
O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccccc2oc1=O,910.0,-2.9590413923210934
Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,61490.0,-4.7888044930446485
COc1ccc(-c2cc3cc(C)cc(Br)c3oc2=O)cc1,3230.0,-3.509202522331103
C#CCN(C)[C@H](C)Cc1ccccc1,19600.0,-4.292256071356476
CC(C)=CCOc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,18620.87,-4.269999968126125
C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccc(C)cc1,740000.0,-5.869231719730976
Cc1cccc(C)c1C(=O)NCc1ccc(-c2cc[nH]c(=O)c2)cc1,130000.0,-5.113943352306837
FC(F)(F)c1ccc(CN[C@H]2CC2c2ccccc2)cc1,1000.0,-3.0
C#CCN(C)[C@H](C)Cc1ccccc1,19.6,-1.2922560713564761
COc1ccc(CN[C@H]2CC2c2ccc(Oc3ccccc3)cc2)cc1,3000.0,-3.4771212547196626
C#CCNC1CCc2c(OCc3cccc(Cl)c3)cccc21,330.0,-2.5185139398778875
C#CCNC1CCc2c(OCc3cccc(C)c3)cccc21,550.0,-2.7403626894942437
C#CCNC1CCc2c(OCc3ccc(C)cc3)cccc21,1090.0,-3.037426497940624
C#CCNC1CCc2c(OCCc3cccc(Cl)c3)cccc21,5870.0,-3.7686381012476144
C#CCNC1CCc2c(OCCCOc3cccc(I)c3)cccc21,18010.0,-4.255513712819534
C#CCNC1CCc2c(OCCCOc3cccc4ccccc34)cccc21,60000.0,-4.778151250383644
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,60000.0,-4.778151250383644
COc1ccc(/C=C2\COc3ccccc3C2=O)cc1,58884.37,-4.770000032926942
O=C1/C(=C/c2ccc(Cl)cc2)COc2ccccc21,154881.66,-5.189999994696863
COc1cc(/C=C/c2ccc(OCCCCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1,100000.0,-5.0
C#CCN(C)[C@H](C)Cc1ccccc1,19.6,-1.2922560713564761
CCCN(C)c1ccc(/C=C2\Cc3cc(O)c(O)cc3C2=O)cc1.Cc1ccc(S(=O)(=O)O)cc1,7500.0,-3.8750612633917
Cc1ccc2oc(=O)c(-c3cccc4ccccc34)cc2c1,6490.0,-3.812244696800369
O=C(Nc1nc2ccccc2c(=O)s1)c1ccc(C(=O)N2CCN(Cc3cccc(Cl)c3)CC2)cc1,10000.0,-4.0
O=C(CCCc1ccccc1)Nc1nc2ccccc2c(=O)s1,34.9,-1.54282542695918
O=C(C/C=C/c1cccc(Cl)c1)Nc1nc2ccccc2c(=O)s1,1000.0,-3.0
Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,18.1,-1.2576785748691846
O=C(/C=C/c1ccccc1Cl)Nc1ccc(O)cc1,10000.0,-4.0
CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,1000.0,-3.0
CCCn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(Cc3ccccc3)CC2)n(CCC)c1=O,10000.0,-4.0
Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(Cc3ccccc3)CC2)n(C)c1=O,10000.0,-4.0
Cn1c(=O)c2c(nc3n2CCCN3Cc2ccc(Cl)c(Cl)c2)n(C)c1=O,62.9,-1.7986506454452689
CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(CC)c1=O,4760.0,-3.677606952720493
CCn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2OC)n(CC)c1=O,3260.0,-3.513217600067939
O=C1CCc2cc(OCCCC(F)(F)F)ccc21,0.318,0.4975728800155673
CCOC(=O)N(C[C@H]1CN(c2ccc(N3CCN(C(C)=O)CC3)c(F)c2)C(=O)O1)C(=O)CC,127150.0,-5.104316364511727
O=C(C/C=C/c1ccccc1)Nc1nc2ccccc2c(=O)s1,39.8,-1.5998830720736879
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,395000.0,-5.596597095626461
Cc1ccc2oc(=O)c(-c3cccs3)cc2c1,3760.0,-3.575187844927661
CC(=O)N1N=C(c2ccccc2)CC1c1ccccc1C,38000.0,-4.57978359661681
Cl.NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccccc3F)cc2)N1,3.981,-0.599992177584098
CC1CCCC/C1=N\Nc1nc(-c2ccc(Cl)cc2)cs1,13126.0,-4.1181323999209045
Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)c(F)c1,16.0,-1.2041199826559248
CC1CCC(=NNc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)CC1,362.0,-2.558708570533166
CC1CCC(=NNc2nc(-c3ccc(Cl)cc3)cs2)CC1,2411.0,-3.382197210377454
CC1CCC(=NNc2nc(-c3ccccc3)cs2)CC1,259.0,-2.413299764081252
Fc1ccc(-c2csc(NN=C3CCCCC3)n2)c(F)c1,652.0,-2.81424759573192
Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1,3.0,-0.47712125471966244
c1ccc(-c2csc(NN=C3CCCC3)n2)cc1,296.0,-2.4712917110589387
C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1cccs1,850000.0,-5.929418925714293
Cc1ccsc1/C=N/Nc1nc2ccccc2nc1Cc1ccccc1,860000.0,-5.9344984512435675
CCN(CCCCCCOc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1)Cc1cccc(OC)c1,100000.0,-5.0
C#CCOc1ccc(-c2cc(-c3cccc(OCC#C)c3)nc(C)n2)cc1,8090.0,-3.9079485216122722
Cc1sc2nc(NC(=O)CCCc3ccccc3)sc(=O)c2c1C,9.8,-0.9912260756924949
O=C(Nc1nc2ccccc2c(=O)s1)c1ccc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)cc1,10000.0,-4.0
C=C(CNN)c1ccc(F)cc1.Cl,81000.0,-4.9084850188786495
CC1CCCC/C1=N\Nc1nc(-c2ccc(Cl)cc2Cl)cs1,26811.0,-4.428313012654368
Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21,0.662,0.17914201056030005
O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1,1.59,-0.2013971243204515
CCC(C)(C)c1ccc(OCCCCCCCCN2CCCC(C)C2)cc1,1000.0,-3.0
C#CCN[C@@H]1CCc2ccccc21,25.0,-1.3979400086720377
CCC(C)(C)c1ccc(OCCCN2CCCC2)cc1,4.5,-0.6532125137753437
CCC(C)(C)c1ccc(OCCCN2CC(C)CC(C)C2)cc1,962.0,-2.983175072037813
CCC(C)(C)c1ccc(OCCCN2CCCCCC2)cc1,65.0,-1.8129133566428555
CCC(C)(C)c1ccc(OCCCCN2CCCC(C)C2)cc1,1228.0,-3.089198366805149
CCC(C)(C)c1ccc(OCCCCCCN2CCC(C)CC2)cc1,1000.0,-3.0
CCC(C)(C)c1ccc(OCCCCN2CCC(C)CC2)cc1,1000.0,-3.0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,4190.0,-3.622214022966295
CC(C)(C)OC(=O)N1CC(C#Cc2ccc3c(=O)c(-c4ccc(NS(C)(=O)=O)cc4)coc3c2)C1,130000.0,-5.113943352306837
c1cn(-c2ccc3nc(-c4ccc5c(c4)OCO5)ccc3c2)cn1,10000.0,-4.0
COCCOc1cc(Cl)c(C(=O)NCc2ccc(-c3cc[nH]c(=O)c3)cc2)c(Cl)c1,130000.0,-5.113943352306837
CC(=O)c1ccc(OCCCN2CCN(Cc3ccccc3)CC2)cc1O,6800.0,-3.832508912706236
