Smiles,IC50,pIC50
CN(C)CCC=C1c2ccccc2CCc2ccccc21,15.0,-1.1760912590556813
CC(C)(C)NC1=NCCNC(c2ccccc2Cl)=C1,76.0,-1.8808135922807914
CCC1(NC2=NCCNC(c3ccc(F)cc3F)=C2)CCCC1,1.1,-0.04139268515822507
CN(C)CC1CC2c3ccccc3Oc3ccc(Cl)cc3N2O1,1.905,-0.2798949800116381
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)[nH]c3C)CC2)c1C,300.0,-2.4771212547196626
CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,324.0,-2.510545010206612
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccc2)n1-c1ccc(F)cc1,4.1,-0.6127838567197355
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccc2)n1Cc1ccccc1,354.0,-2.5490032620257876
Cc1[nH]c(-c2ccccc2)cc1C(=O)NCCN1CCN(c2cccc(Cl)c2Cl)CC1,40.0,-1.6020599913279625
CCCn1c(-c2ccccc2)cc(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,104.0,-2.0170333392987803
Cc1ccc(C2=CC(NC(C)(C)C)=NCCN2)c(C)c1,71.0,-1.8512583487190752
Cc1ccc(C2=CC(NC(C)(C)Cc3ccccc3)=NCCN2)cc1,2.4,-0.38021124171160603
CC1SC(C)(C)C(=O)N1CCCCN1CCN(c2csc3cc(F)ccc23)CC1,17.0,-1.2304489213782739
COc1cccc(NC(=O)NCCCN2CCCC(CCc3ccccc3)C2)c1,787.0,-2.8959747323590648
COc1ccc(Nc2nc(Cc3ccccc3)nc3c2CCNCC3)cc1.Cl,57.4,-1.7589118923979736
c1ccc2c(N3CCNCC3)cccc2c1,62.0,-1.792391689498254
CCCn1c(-c2ccccc2)cc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,408.0,-2.61066016308988
Cc1[nH]c(-c2ccc(Cl)cc2)cc1C(=O)NCCCN1CCN(c2cccc(Cl)c2Cl)CC1.Cl,105.0,-2.0211892990699383
COc1ccc(S(=O)(=O)n2cc(/C=N/N=C/N(C)C)c3c([N+](=O)[O-])cccc32)cc1,205.0,-2.311753861055754
Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1C(F)(F)F.Cl.Cl.Cl.Cl,58.0,-1.7634279935629373
CCCc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3C)CC2)c(C)n1-c1ccccc1.Cl.Cl.Cl,154.0,-2.187520720836463
CCCc1nc(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)cn1-c1ccccc1.Cl.Cl,133.0,-2.123851640967086
Cc1c(Cl)cccc1N1CCN(CCCNC(=O)c2nc(C)n(CC(C)C)c2C)CC1.Cl.Cl.Cl,45.5,-1.6580113966571124
Fc1ccc(Nc2nc(N3CCN(c4ccccc4)CC3)nc3[nH]ncc23)cc1,27.2,-1.4345689040341987
CC(C)NCC(O)COc1cccc2ccccc12,5011.87,-3.6999997975545824
Cc1[nH]c2ccc(OS(=O)(=O)C(F)(F)F)cc2c1C1=CCNCC1,1000.0,-3.0
Cc1[nH]c2ccc([N+](=O)[O-])cc2c1C1=CCNCC1,1000.0,-3.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,442.0,-2.645422269349092
c1ccc(N2CCN(CC3CC4c5ccccc5Cc5ccccc5N4O3)CC2)cc1,1000.0,-3.0
CN(C)CC1(C)CC2c3ccccc3Cc3ccccc3N2O1,1000.0,-3.0
CCc1c(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1,127.0,-2.103803720955957
COc1ccc(-c2ccc(CCCNc3ccc(CN4CCCC4)cc3)nn2)cc1,4540.0,-3.6570558528571038
O=c1n(CCCCN2CCN(c3cccc4sccc34)CC2)nc2c(Cl)cccn12,368.0,-2.5658478186735176
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,31.0,-1.4913616938342726
CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3)CC2)c1C,191.0,-2.2810333672477277
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccn2)n1C.Cl.Cl.Cl.Cl,43.0,-1.6334684555795866
CCCN1CCN(CCC)C2(COc3cccc(OC)c3C2)C1,10000.0,-4.0
COc1ccc(-n2c(C)nc(C(=O)NCCCN3CCN(c4cccc(Cl)c4Cl)CC3)c2C)cc1.Cl.Cl.Cl.Cl,20.0,-1.3010299956639813
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)nc(-c2ccccc2)n1-c1ccccc1.Cl.Cl.Cl.Cl,14.2,-1.1522883443830565
CN(C)CC1CC2c3cccc(C(F)(F)F)c3Cc3ccccc3N2O1,1000.0,-3.0
CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CCN(Cc2ccc(F)cc2)C[C@H]1C,1000.0,-3.0
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,4801.0,-3.681331705969166
c1ccc(CNC[C@@H]2CCN(CCc3c[nH]c4ccc(-n5cnnc5)cc34)C2)cc1,4400.0,-3.6434526764861874
COc1ccc(NC(=O)Nc2ccc(Br)cc2)cc1-c1c(Br)cnn1C,0.5012,0.29998893767788765
CN1CCN2c3ccccc3Cc3ccccc3C2C1,10.47,-1.0199466816788423
Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,240.0,-2.380211241711606
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccc(Cl)cc4)c3C)CC2)c1C.Cl.Cl.Cl,67.0,-1.8260748027008264
CN(C)CC1CC2c3ccccc3Cc3cc(F)ccc3N2O1,6.918,-0.8399805576783427
CCOc1ccccc1N1CCN(CCCC(=O)NCc2nc3ccc(F)cc3c(=O)n2-c2ccccc2)CC1,10000.0,-4.0
