SMILES,AChE_pXC50,MAOB_pXC50,AChE_MAOB_pXC50
CC(=O)CCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,6.971688270568848,4.690692901611328,5.831190586090088
O=C1C=CC=CC1=CC=C1C=CC(O)Oc2ccccc21,3.8285436630249023,5.8925652503967285,4.860554456710815
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(O)CO)CC3OC1CC(O)C(O)C(C)O1,6.081966400146484,4.06308650970459,5.072526454925537
O=C1c2ccccc2-c2nc3nnnn3nc21,4.122465133666992,3.952200412750244,4.037332773208618
N#Cc1c(O)nc(O)c2c(=N)oc3ccc(Cl)cc3c12,6.020318031311035,4.096816539764404,5.05856728553772
CCOCC1=NOC2CCC3C4CC(O)=NC4CC3C2COC13,,,
O=C1CCc2cc(OCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc2N1,7.571161270141602,5.2855544090271,6.428357839584351
CCCc1c2c(nc3ccc(OCc4ccccc4)cc13)OC(C)C2,4.920395851135254,5.578193664550781,5.249294757843018
CCCCc1c2cc(OCCCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc2n2ncccc12,6.933707237243652,5.533890247344971,6.2337987422943115
C#CCN(C)Cc1cc2cc(OCc3cccc(Cl)c3)ccc2n1C,4.723291397094727,8.097467422485352,6.410379409790039
Cc1oc2cc3oc(=O)c(Cl)cc3cc2c1C,5.501417636871338,6.617038249969482,6.05922794342041
CC(=NNc1nc(-c2ccc(F)cc2F)cs1)c1ccncc1,5.644594669342041,7.133410453796387,6.389002561569214
CCCCCCCCNC(=O)Oc1ccc(OC)cc1,6.625153541564941,5.418309211730957,6.021731376647949
N#Cc1ccc(COc2ccc3ccc(=O)oc3c2)cc1,4.134428977966309,7.71641731262207,5.9254231452941895
CNC(=O)COc1ccc(CNCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,7.803201675415039,4.788723945617676,6.295962810516357
c1ccc(C2CN3CCSC3=N2)cc1,6.589893341064453,6.140233993530273,6.365063667297363
O=c1ccoc2ccc(OCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12,6.876397132873535,5.100113391876221,5.988255262374878
COc1ccc(C=CC2CC3CCC(C)(C2)[N+]3=O)cc1,5.1530046463012695,5.5928955078125,5.372950077056885
CN1CCC(=C2c3ccccc3COc3ccccc32)CC1,4.342097759246826,5.011132717132568,4.676615238189697
COc1cccc2c1cc(C(=O)NCC1CCCN(Cc3ccccc3C)C1)n2C,6.709811687469482,3.89037823677063,5.300094962120056
N#Cc1ccc(SCc2cccc(Cl)c2)cc1,3.761781692504883,6.31889009475708,5.0403358936309814
CCCCCCCNC1CCC(c2ccc(O)c(CO)c2)CC1,5.079618453979492,4.330503940582275,4.705061197280884
CC1=NOC(=O)C1=Cc1ccc(OCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,6.841172695159912,6.108490943908691,6.474831819534302
O=C(Nc1ccc(OCC(F)(F)F)cc1)c1cnoc1-c1cccc([N+](=O)[O-])c1,5.872602939605713,6.315413475036621,6.094008207321167
CC1=NOC2CCCCC2C1=CC=Cc1ccco1,5.11003303527832,6.632247447967529,5.871140241622925
