SMILES,D2R_pXC50,D3R_pXC50,D2R_D3R_pXC50,_5HT2A_pXC50,D2R__5HT2A_pXC50
CCCC(=O)N1CCC(Cc2cccc(C(=O)NCCCCOC)c2)CC1,6.872730255126953,6.119307518005371,6.496018886566162,5.775636196136475,6.324183225631714
C=CCN1CCCC1CNC(=O)c1cc(OC)cc2c1OCC2,7.568544864654541,7.920844554901123,7.744694709777832,5.596246719360352,6.582395792007446
Fc1cccc2c1CCNC2c1ccc(F)cc1,6.724183082580566,6.199865818023682,6.462024450302124,7.325289249420166,7.024736166000366
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)nc2N1,8.820858001708984,7.946582317352295,8.38372015953064,8.932706832885742,8.876782417297363
CC(C)Cn1c(N)nc2c(F)cc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21,5.853235244750977,5.305133819580078,5.579184532165527,6.2891764640808105,6.0712058544158936
Cc1cccc(CC(O)C=CC2CCC(=O)N2CCCN(Cc2ccccc2)CC2CCCO2)c1,5.621110916137695,5.477466106414795,5.549288511276245,6.130441188812256,5.875776052474976
O=C1CCc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccc2N1,8.785455703735352,8.286078453063965,8.535767078399658,8.590685844421387,8.68807077407837
COc1cccc2c1-c1cccc3c1C(C2)N(C)CC3,6.490542411804199,6.6327900886535645,6.561666250228882,7.497817039489746,6.994179725646973
CCCc1c[nH]c2c([N+](=O)[O-])cc3cn[nH]c3c12,7.84406852722168,5.796507358551025,6.8202879428863525,6.316748142242432,7.080408334732056
OC1(c2ccc(F)cc2)CCN(CCCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,7.566603660583496,7.082004070281982,7.324303865432739,5.464606285095215,6.5156049728393555
CCN(CC)C(=O)NC1Cc2c(cc3c[nH]c4c3c2C=CC4)N(C)C1,8.286233901977539,9.047680854797363,8.666957378387451,8.844083786010742,8.56515884399414
Oc1cc2c(OCCNCc3ccccc3)ccc(F)c2[nH]1,8.782026290893555,7.853747367858887,8.31788682937622,7.495762825012207,8.13889455795288
CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,8.10791015625,8.435409545898438,8.271659851074219,6.841672897338867,7.474791526794434
N#Cc1ccc(N2CCN(CCCCc3c[nH]c4ncccc34)CC2)c(F)c1,7.561210632324219,7.738959789276123,7.650085210800171,6.482283592224121,7.02174711227417
Cc1c(O)ccc2c1CCCC2=NNC(=O)Cc1cccc2ccccc12,6.473564147949219,4.896060943603516,5.684812545776367,6.90031623840332,6.6869401931762695
CCc1cc(O)cc2c1OC(C)C(=O)N2CCCN1CCN(c2ccc(Cl)cc2Cl)CC1,7.103679180145264,7.62952995300293,7.366604566574097,6.386209487915039,6.744944334030151
O=C(CCCN1CCC2(CC1)C(=O)N(CC1CC1)CN2c1ccccc1)c1ccc(F)cc1,9.276561737060549,8.307008743286133,8.79178524017334,8.53393268585205,8.905247211456299
C=C(c1ccc(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)cc1)C1CCCCC1,7.010502815246582,7.522954940795898,7.26672887802124,6.852639675140381,6.9315712451934814
CN1CCOc2ccc(Cc3sc(C(=O)N4CCN(c5ccc(F)cn5)CC4)cc3C#N)cc2CC1,5.183385848999023,5.396001815795898,5.289693832397461,6.30622673034668,5.744806289672852
Cc1nc2ccccc2n1C1CCN(C(=O)c2ccc(F)c(F)c2)CC1,5.193161487579346,5.697629928588867,5.445395708084106,6.845932960510254,6.0195472240448
Oc1ccc2c(c1)OC(CNCCC1CCC(O)(c3ccccc3)CC1)CC2,7.668092727661133,7.959615230560303,7.813853979110718,7.039153575897217,7.353623151779175
CN1CCN(Cc2nc3cccc(C(F)(F)F)c3[nH]2)CC1,5.914941310882568,6.04187536239624,5.978408336639404,4.726844787597656,5.320893049240112
COc1cc2c(cc1OC)CN(Cc1ccc(OC)c3oc(-c4ccccc4)cc13)CC2,5.277740478515625,6.024620056152344,5.651180267333984,5.825876235961914,5.5518083572387695
CCCCCCN1C2CCC1CC(C(=O)Nc1ccc(C(=O)O)cc1)C2,5.640037536621094,6.5887556076049805,6.114396572113037,5.549703598022461,5.594870567321777
Cc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1O,6.958896160125732,6.426949977874756,6.692923069000244,7.369790077209473,7.1643431186676025
Cc1ccccc1N1CCN(CCCNC(=O)c2cc3cc(I)ccc3o2)CC1,6.531932830810547,6.860196113586426,6.696064472198486,6.107428073883057,6.319680452346802
Cc1noc(C)c1S(=O)(=O)Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,6.424483776092529,7.126598358154297,6.775541067123413,6.357146739959717,6.390815258026123
COc1cc2c(cc1O)CC1c3ccc(O)c(OC)c3-2)CCN1C,,,,,
