SMILES,D2R_pXC50,D3R_pXC50,D2R_D3R_pXC50
CCCC(=O)N1CCC(Cc2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2)CC1,7.768740653991699,7.181775093078613,7.475257873535156
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1I,7.767280578613281,8.46969223022461,8.118486404418945
CC(C)C1(O)CCN(C(=O)c2ccc(N3CCN(c4ccc(F)cc4)CC3)nc2)CC1,5.045000076293945,5.83812427520752,5.441562175750732
Cc1ccn(-c2ccc(C(N)=O)c(N3CCN(CC(=O)NCc4ccc(F)cc4)CC3)n2)n1,6.01187801361084,5.434755325317383,5.723316669464111
Cc1cc(OCC(O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)ccc1F,6.16944694519043,6.741557121276856,6.455502033233643
CN(C)CC=CC(=O)Nc1ccc2[nH]cc(C3=CCN(C)CC3)c2c1,5.873078346252441,6.5415239334106445,6.207301139831543
CCCN(CCC)C1CCc2c(ccc(O)c2Cl)C1,8.347827911376953,8.855293273925781,8.601560592651367
Clc1ccc2c(c1)CCc1c[nH]nc1-2,7.097898960113525,5.86698055267334,6.482439756393433
CCCN(CCC)C1CCc2nc(N)sc2C1,6.720566272735596,8.426815032958984,7.57369065284729
Oc1nc2c(O)ccc(C(O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,6.454721927642822,6.608563423156738,6.53164267539978
COc1cccc(C2CC(=O)N3CN(CCCc4ccccc4)CSC3=C2C#N)c1,5.881068706512451,6.088700294494629,5.98488450050354
COc1cccc(OC)c1NC1=NS(=O)(=O)c2cc(C)ccc21,6.011042594909668,6.034136295318604,6.022589445114136
OCC12CCC(F)(F)CC1CC(O)(CCCCCc1ccccc1)C2,4.571445465087891,5.556590557098389,5.06401801109314
Cc1c(Cl)cccc1NC(=O)c1cnc(N2CCN(CCOc3ccc(F)cc3)CC2)c(Cl)c1,6.2359724044799805,6.177317142486572,6.206644773483276
O=C(Nc1ccc(C2CCN(C3COC3)CC2)cc1)c1cc(-c2ccc(Cl)cc2)nc2ccc(F)cc12,6.1358561515808105,6.040941715240479,6.0883989334106445
Clc1ccc(CN2CCC3(CCCc4ccccn43)CC2)cc1Cl,,,
O=C(NCc1ccc(Cl)cc1)NC1CCN(CCCc2c[nH]c3ccccc23)CC1,6.775082588195801,6.660372734069824,6.7177276611328125
COc1ccccc1N1CCN(CC=CCCNC(=O)c2ccccc2CCc2ccc(O)cc2)CC1,7.007059097290039,7.243884086608887,7.125471591949463
O=C1Nc2cc(Br)ccc2C1C1=NCCN1,5.0478105545043945,6.1483235359191895,5.598067045211792
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,9.175222396850586,8.254637718200684,8.714930057525635
O=C1CCCN1Cc1ccc2c(c1)nc(O)c1cccn12,7.2486572265625,5.041553974151611,6.145105600357056
O=C(NCCCN1CCC2(CCc3[nH]c4ccc(F)cc4c3C2)CC1)c1ccc2ccccc2c1,6.703542232513428,6.793791770935059,6.748667001724243
NCC1CC1c1ccccc1OCCCc1c[nH]c2ccc(F)cc12,6.88573169708252,7.856529235839844,7.371130466461182
CCCCCCN1C2CCC1CC(C(=O)Nc1ccc(C(=O)O)cc1)C2,5.640037536621094,6.5887556076049805,6.114396572113037
Cc1ccc(CC(NC(=O)c2ccccc2)c2ccccn2)cc1,5.734679698944092,5.852436542510986,5.793558120727539
O=C(NC1CC1)Oc1cccc(C(=O)N2CCC3(CC2)CN(Cc2ccc(Cl)cc2)C3)c1,5.3616251945495605,6.073271751403809,5.717448472976685
CCCN(CCC)C1CCc2c(sc(NC(=O)Nc3ccccc3)c2C(N)=O)C1,6.85270357131958,6.784815788269043,6.8187596797943115
CCc1cccc(N2CCN(CCCCn3nc(-c4ccc(Cl)cc4)c4c(N)ncnc43)CC2)c1,6.604632377624512,6.833371639251709,6.71900200843811
COc1cccc(C(C)(C)CC2CNCC(c3cccc(Cl)c3)N2)c1,7.038359642028809,6.745546817779541,6.891953229904175
COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c(sc4ccc(NC(=O)CCCCc5ccccc5)cc43)c2=O)CC1,8.10941219329834,7.098494529724121,7.6039533615112305
CN1C(=O)CCC(CN2CCC(N3C(=O)c4cccc5cccc(c45)C3=O)CC2)O1,6.122079372406006,6.394474983215332,6.258277177810669
O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,7.323400497436523,8.93916130065918,8.131280899047852
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,6.021484375,5.504355430603027,5.762919902801514
CN1CCc2nc(C#N)c(NCCCN3CCN(c4ccccc4OCCF)CC3)c2C1,,,
Cc1cccc(OCCN(C)Cc2ccccn2)c1,6.355423927307129,6.037666320800781,6.196545124053955
O=C(NC1C2CCN(CC2)C1Cc1cccnc1)c1cccs1,6.351897716522217,6.898612976074219,6.625255346298218
CC1CN(CCCc2c[nH]c3ccc(-n4ccnc4)cc23)CCN1C(=O)C1CCCN1C2=CCN1CCC1CC2,6.145630836486816,6.554147720336914,6.349889278411865
O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccc(F)cc1,7.640166282653809,6.56119441986084,7.100680351257324
CCN(CC)CCN1CCC(c2c[nH]c3ccc(F)cc23)CC1,6.884974956512451,6.032175064086914,6.458575010299683
COc1ccccc1N1CCN(CCCCCNS(=O)(=O)c2cccc3nonc23)CC1,7.983222484588623,7.0100998878479,7.496661186218262
CCCN(CCN1CCN(c2ccc(-c3ccccc3)cc2)CC1)C1CCc2c(O)cccc2C1,7.487314701080322,8.477007865905762,7.982161283493042
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)nc2N1,8.669334411621094,7.364121913909912,8.016728162765503
