SMILES,D2R_pXC50,D3R_pXC50,D2R_D3R_pXC50
CCCC(=O)N1CCC(Cc2cccc(C(=O)NCc3cccc(Cl)c3)c2)CC1,7.243351936340332,6.372915744781494,6.808133840560913
Cc1cccc2c1CCC1CN(CCn3c(=O)[nH]c4c(sc5ccc(C(F)(F)F)cc54)c3=O)CC21,7.113714218139648,7.289348125457764,7.201531171798706
COc1cccc(NC(=O)CSc2nc(N)c(C#N)c(-c3cccc(OC)c3)n2)c1,5.836190700531006,4.958300590515137,5.397245645523071
COc1ccccc1N1CCN(CCc2nc3ccccc3n2C)CC1,7.182249069213867,6.689494609832764,6.935871839523315
O=C(O)CCCCCN1CCC(Oc2ccc3c(c2)CCC3)CC1,6.251770496368408,5.239169120788574,5.745469808578491
CCNC(=O)N(CCC1CCN(Cc2ccc3[nH]ccc3c2)CC1)Cc1cccc(F)c1,6.4855241775512695,6.723751544952393,6.604637861251831
CCCN1CCCC2Cc3[nH]ncc3CC21,7.043054103851318,7.927458763122559,7.4852564334869385
COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2cc3cc4c(cc3[nH]2)OCO4)CC1,7.355332851409912,7.715725898742676,7.535529375076294
CC(C)Oc1ccccc1N1CCN(C2CCC(NC(=O)Nc3cc(F)ccc3F)CC2)CC1,7.781427383422852,8.235396385192871,8.008411884307861
Cc1nc2c(O)n(CCCCCN3CCN(c4cc(Cl)ccc4F)CC3)cc2s1,7.6894683837890625,7.305740833282471,7.497604608535767
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(C=CC(O)=NO)cc2)CC1,7.18201208114624,7.872146129608154,7.527079105377197
Oc1nc2[nH]cc(C(O)CN3CCN(c4cccc5ccccc45)CC3)c2c2c1CCC2,7.36739444732666,7.053494453430176,7.210444450378418
CC12CCC3C(CCC4(O)CCC34C=CCC1C2)C(=O)CCC3,,,
COc1ccccc1N1CCN(CCCCOc2ccc3c(C)csc3c2)CC1,7.737614154815674,8.284722328186035,8.011168241500854
COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(-c2ccccc2Cl)c2cc[nH]c2n1,6.352167129516602,5.417948246002197,5.885057687759399
CCn1c(CN2CCN(c3ccc(C(=O)NCCCN4CCN(c5ccccc5OC)CC4)cc3)CC2)nc2ccccc21,5.875804901123047,6.425559043884277,6.150681972503662
COc1ccc(CCOC(=O)C2(c3ccc(Cl)c(Cl)c3)CCN(C(=O)C3CCCC3)CC2)cc1OC,6.348102569580078,5.662570476531982,6.00533652305603
Cc1ccc2oc(=O)n(CCCCN3CCC(c4n[nH]c(-c5ccc(Cl)cc5)n4)CC3)c2c1,6.944100379943848,7.787737846374512,7.36591911315918
Oc1occ2c1C(CNCCc1ccccc1)CC1CCCC21,6.023477554321289,7.178929805755615,6.601203680038452
CCCN(CCCCCNC(=O)Cc1c(-c2ccc(F)cc2)nc2ccccn12)C1CCc2c(F)cccc2C1,7.000795364379883,6.9651594161987305,6.982977390289307
COc1ccc(CCN2CCN(Cc3cccc4cc(OC)ccc34)CC2)cc1,6.145789623260498,6.19659948348999,6.171194553375244
O=S(=O)(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,7.814041137695312,8.642093658447266,8.228067398071289
COc1ccccc1N1CCN(CCNC(=O)c2cc3ccc2OC)CC1,,,
CCCN(CCC1CCC(NC(=O)c2cc3ccccc3[nH]2)CC1)C1CCc2nc(N)sc2C1,7.018593788146973,8.971903800964355,7.995248794555664
CCCCN(CCCC)C1CCc2ccc3[nH]ccc3c2C1,7.663437843322754,7.27394962310791,7.468693733215332
N#Cc1cccc(N2CCN(CCCCn3ncc(=O)n(CCC4CCCCC4)c3=O)CC2)c1,7.307006359100342,8.02446174621582,7.665734052658081
CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)nc(-c3ccc(C)cc3)n2)cc1,5.619131088256836,4.8659515380859375,5.242541313171387
Cc1ccc(-c2cnc(N3CCN(CCO)C(C)C3)nc2)c(C)c1,5.487529754638672,6.171418190002441,5.829473972320557
CCCN1CCC=C(c2ccc(C(=O)Nc3ccc4c(c3)-c3nnc(C)[nH]3)cc2)C1,,,
CCCN(CC1CC1)c1cc(-c2ccccc2)nc2ccnn12,6.275689125061035,7.266718864440918,6.771203994750977
CCCCCC1CCN(CCCC(O)c2ccc(SC)cc2)CC1,5.426867485046387,5.6192145347595215,5.523041009902954
CN(C)CCCN1c2ccc(Cl)cc2CCc2ccccc21,6.95042610168457,6.690840721130371,6.820633411407471
CN(C)CCNC(=O)c1cccc(Br)c1,5.46995735168457,7.388588905334473,6.4292731285095215
CCCN1CCCC(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)C1,6.661169528961182,5.90226411819458,6.281716823577881
CCCCN(CCCC)C1CCc2ccc3[nH]ccc3c2C1,7.663437843322754,7.27394962310791,7.468693733215332
CN1CCc2c(sc3ncn(CCN4CCN(c5cncc6ccccc56)CC4)c(=O)c23)C1,7.403750419616699,7.24682092666626,7.3252856731414795
CN1CCc2c(sc3ncn(CCN4CCN(c5cncc6ccccc56)CC4)c(=O)c23)C1,7.403750419616699,7.24682092666626,7.3252856731414795
CCCN1CCCC(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)C1,6.661169528961182,5.90226411819458,6.281716823577881
CC(C)N=C1SC(=Cc2ccc(OCCOc3ccc(C(=O)O)cc3)cc2)C(=O)N1c1ccccc1,5.591590404510498,5.214508533477783,5.403049468994141
COc1ccc(N2CCN(CCCCNC(=O)C3COc4ccccc4O3)CC2)cc1,6.324272155761719,6.820895195007324,6.5725836753845215
COc1cccc(N2CCN(Cc3cn4c(C(F)(F)F)cccc4n3)CC2)c1,6.0459818840026855,5.744226932525635,5.89510440826416
CSc1ccc2c(c1)N(CCC1CCC(NC(C)=O)CC1)c1ccccc1S2,6.3813347816467285,6.854355335235596,6.617845058441162
CN1CCc2cc(Cl)c(O)cc2C2c3cccc(NCCc4cccc(OC(F)(F)F)c4)c3CCC21,6.424623489379883,6.398907661437988,6.4117655754089355
COc1ccccc1N1CCN(CCC=C2N=c3ccc(C)cc3=NC2=O)CC1,6.509641647338867,6.602036952972412,6.55583930015564
