SMILES,D2R_pXC50,D3R_pXC50,D2R_D3R_pXC50
CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,7.061977386474609,8.358572006225586,7.710274696350098
Oc1ccc2c3c1OC1CCC(O)C(OCCCN4CCN(c5ccccc5OC(F)(F)F)CC4)CC1)CCC3)CCN(CCCc1ccccc1,,,
N#Cc1ccc(N2CCN(CCCCc3c[nH]c4ccc(C(N)=O)cc34)CC2)cc1,7.120778560638428,7.458204746246338,7.289491653442383
O=C(NC1CCc2ccc(CCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21)C1CCCC1,7.454765796661377,7.186753749847412,7.3207597732543945
CCN1CCCC(c2cccc(O)c2)CC1,6.448628902435303,6.670512199401856,6.559570550918579
COc1ccccc1N1CCN(CCCCCOc2ccc3ccc(O)nc3c2)CC1,8.443262100219727,8.07800579071045,8.260633945465088
COc1ccccc1N1CCN(CCCCCNC(=O)c2cc3ccccc3o2)CC1,7.168549537658691,7.815593719482422,7.492071628570557
CCCN1CCCCC2Cc3c(cccc3OC)CC21,7.117658615112305,7.256497383117676,7.18707799911499
CN1CCN(C2Cn3cccc3Sc3ccc(Br)cc32)CC1,8.921730041503906,8.506511688232422,8.714120864868164
CN1CCN(C2=Cc3ccccc3Oc3ccc(Cl)cc32)CC1,7.99347448348999,7.783572196960449,7.88852334022522
CN1CCC(c2ccncc2)=CCC1CNCCc1ccc(O)cc1,6.374719619750977,6.932315826416016,6.653517723083496
O=C1N(CCN2CCNCC2)CN(c2cccc3ccccc23)CC12CCC2,6.536163330078125,5.761616230010986,6.148889780044556
Clc1ccc(N2CCN(CCCCN=C3CCc4ccccc4C3=O)CC2)cc1Cl,6.561732292175293,7.670817852020264,7.116275072097778
NCC1CCc2ccc(F)cc2C1,6.075679779052734,6.611715316772461,6.343697547912598
CCCN(CCN1CCN(c2nccc3ccccc23)CC1)C1CCc2ccc(O)cc2C1,7.276597023010254,8.629609107971191,7.953103065490723
CCN1CCN(c2cccc(C#CCN3CCC(c4ccc(F)cc4)CC3)n2)CC1,6.0071892738342285,5.711803913116455,5.859496593475342
COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccc(F)c3ccccc23)CC1,7.478488445281982,8.763628005981445,8.121058225631714
COc1ccccc1N1CCN(CCCCNC(=O)CC2CCC2)CC1,7.521566390991211,8.536051750183105,8.028809070587158
Oc1ccc(CCN2CCN(c3cccc(Cl)c3)CCC2)c2cccc(F)c2F,,,
COc1ccccc1N1CCN(CC=CCCCNC(=O)c2cc3ccccc3[nH]2)CC1,6.984511852264404,8.616902351379395,7.800707101821899
c1ccc(N2CCN(CCCN3CCN(c4ccccc4)CC3)CC2)cc1,6.09337854385376,5.544505596160889,5.818942070007324
