SMILES,D2R_pXC50,_5HT2A_pXC50,D2R__5HT2A_pXC50
CCCC(=O)N1CCC(Cc2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2)CC1,7.768740653991699,8.466704368591309,8.117722511291504
O=S(=O)(c1ccccc1)N1CCN(CCCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,7.563468933105469,5.539540767669678,6.551504850387573
COc1cccc(N2CCN(CCN(C3CNC(C(=O)c4ccc5ccc(F)cc5c4)C3)CC2)c1,,,
NCC1CC1c1ccccc1C#Cc1ccccc1F,5.114882946014404,6.246042251586914,5.680462598800659
COC(=O)c1ccc2c(c1)CCN2C(=O)Cc1ccc(OC)c(SC)c1,6.23269510269165,5.343189716339111,5.787942409515381
COc1c(-c2nccs2)ccc2c1CCCC2CCC(O)c1ccccc1,5.445832252502441,5.893957614898682,5.6698949337005615
CN1CCCCC1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,6.493525505065918,7.576379776000977,7.034952640533447
CN1CCc2cc(Br)c(O)cc2C(c2ccc(O)cc2)C1,5.937810897827148,7.077676296234131,6.50774359703064
COc1ccccc1N1CCN(CCc2ccc(F)c3nc(O)c4ncccc4c23)CC1,7.78672456741333,6.556807994842529,7.17176628112793
O=S(=O)(NCCCN1CCN(c2nsc3ccccc23)CC1)c1ccc(F)c(Cl)c1,7.365273952484131,8.644243240356445,8.004758596420288
CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,6.585575103759766,7.750135898590088,7.167855501174927
Cc1cccc(N2CCN(CCCCc3c(C)nc4ncc[nH]c34)CC2)c1C,6.747342586517334,6.44519567489624,6.596269130706787
N#Cc1ccc(N2CCN(CCc3cccc(CN4CCN(c5nsc6ccccc56)CC4)c3)CC2)nc1,6.568783283233643,7.965621471405029,7.267202377319336
CCOC(=O)C1=CN(CCc2ccc(F)cc2)CC1=O,5.624983787536621,5.735873699188232,5.680428743362427
CSc1c[nH]c2ncnc(NCCCO)c12,5.923331737518311,5.625903606414795,5.774617671966553
CC(NC1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)C(=O)Nc1ccccc1,5.757761001586914,6.124789237976074,5.941275119781494
CC(C)c1nc(N(C)C)cc(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)n1,6.449105262756348,6.072770595550537,6.260937929153442
COc1ccc2c(c1OC)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,7.956840515136719,6.579421520233154,7.2681310176849365
CC(O)(CN1CCN(c2ccc(F)c(F)c2)CC1)c1ccc2c(c1)C(=O)c1ccccc1-2,6.5787434577941895,6.205288887023926,6.392016172409058
Cn1c(=O)n(C)c2cc(S(=O)(=O)NCCCN3CCN(c4nsc5ccccc45)CC3)ccc21,7.035342216491699,7.524362087249756,7.2798521518707275
Nc1nc2cc(Cl)ccc2n1C1CCN(CCCc2c[nH]c3ccc(F)cc23)CC1,7.555495262145996,6.959902763366699,7.257699012756348
CCN1CCN(c2ccc(Nc3oc4ccccc4c3C(=O)NC)cc2)CC1,6.925838470458984,6.198695659637451,6.562267065048218
Cc1cc2c(N3CCN(CCc4ccc5[nH]c(=O)[nH]c5c4)CC3)cccc2o1,7.847579002380371,7.1097259521484375,7.478652477264404
CC(NC(=O)c1ccccc1)C(O)c1ccc(O)cc1,5.329806804656982,6.297281265258789,5.813544034957886
CCC1(c2c[nH]cn2)Cc2cc(F)ccc2C1,6.489802360534668,5.895386219024658,6.192594289779663
OCCC1CCCN1CCc1cn(CCN2CCN(c3ccc(F)cc3)CC2)c2ccccc12,6.10132360458374,6.925515174865723,6.5134193897247314
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,7.078269004821777,7.122460842132568,7.100364923477173
Cc1ccc(O)c(C(CCN2CC3CC3(C)c3cc(Cl)ccc32)C(C)C)c1,7.401074886322021,6.39903736114502,6.9000561237335205
COc1cccc(C(C)c2ccc3[nH]ccc3c2)c1,6.33579683303833,5.353704929351807,5.844750881195068
Oc1nc2cccc(OCCNCCOc3ccccc3)c2[nH]1,8.719603538513184,7.120371341705322,7.919987440109253
CC(C)Oc1ccccc1N1CCN(Cc2ccc(CN3CCCCC3=O)n2CC(F)(F)F)CC1,7.250406265258789,5.816738605499268,6.533572435379028
O=C1NCN(c2ccccc2)C12CCN(C1CCCCCCCC1c1ccccc1)CC2,7.522497177124023,7.391086101531982,7.456791639328003
Oc1ccc2c(c1)OC(CNCCCCc1c[nH]c3ccc(F)cc13)CC2,9.51596736907959,7.380153656005859,8.448060512542725
CC(=O)NCc1cccc(-c2ccc3[nH]c(N)nc3c2)c1,7.017634868621826,5.869832515716553,6.4437336921691895
O=S(=O)(NCCCN1CCN(c2nsc3ccccc23)CC1)c1ccc(Cl)c(Cl)c1,7.442392349243164,8.373726844787598,7.908059597015381
C=S(O)(O)=CCn1ccc2cc(F)c(CCN3CCN(c4nsc5ccccc45)CC3)cc21,7.774303436279297,7.868804931640625,7.821554183959961
Nc1ccc2c(c1)C(O)C(N1CCN(CCCc3cccc4ccccc34)CC1)C2,6.5893402099609375,7.056049346923828,6.822694778442383
CC(C)Cn1c(N)nc2ccc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21,5.855185508728027,5.679947853088379,5.767566680908203
Cc1ccc(C(=O)NC2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)cc1,7.040482044219971,7.180734634399414,7.110608339309692
Cc1ccn2c(CN3CCCCC3)cnc2c1,5.2451491355896,4.84829568862915,5.046722412109375
CN1CCc2cccc3c2C1Cc1cccc(O)c1-3,6.989553451538086,8.116949081420898,7.553251266479492
Cc1c(F)cccc1-c1ccc2c(c1)N(C(=O)CCN1CCN(c3cccc(Cl)c3Cl)CC1)CC2,7.106783390045166,7.5506110191345215,7.328697204589844
CC1(C)C2CCC1(C)C(NC1CCN(Cc3ccccc3)CC1)C2,5.020636081695557,7.135252952575684,6.07794451713562
O=C1CCc2cc(OCCCCN3CCN(c4cccc(F)c4Cl)CC3)ccc2N1,8.868330955505371,8.469839096069336,8.669085025787354
CN(C)CCN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)nc3n2)CC1,6.024482250213623,5.79401159286499,5.909246921539307
Cc1c(-c2ccc(Cl)cc2)nc(O)n1C1CCN(C2CCC(NC(=O)c3ccc([N+](=O)[O-])cc3)CC2)CC1,6.06862211227417,6.914045810699463,6.491333961486816
c1cncc(CN2CCC(CCOc3ccc4cc(C5CC5)[nH]c4c3)CC2)c1,6.638120174407959,6.077444076538086,6.3577821254730225
CCC1(c2cccc(Cl)c2)NC(=O)N(CCCN2CCN(c3ccccn3)CC2)C1=O,6.463992595672607,7.079009056091309,6.771500825881958
CCCCC1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)C1,7.09235954284668,4.760858535766602,5.926609039306641
CN1CCN(C2=Cn3cccc3Sc3ccc(F)cc32)CC1,8.417153358459473,9.35267162322998,8.884912490844727
O=C1NCCCCC1F,7.184704780578613,3.605161905288696,5.394933342933655
c1cncc(CN2CCN(c3nc4ccccc4o3)CC2)c1,6.227248191833496,5.779071807861328,6.003159999847412
CC1CN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CCN1C,7.742566108703613,7.837459564208984,7.790012836456299
