SMILES,D2R_pXC50,_5HT2A_pXC50,D2R__5HT2A_pXC50
CCCC(=O)N1CCC(Cc2ccc(F)cc2)C(=O)C1,6.95250415802002,6.254035472869873,6.603269815444946
O=C(Cc1cc2ccccc2c(=O)o1)NCCCCN1CCN(c2nsc3ccccc23)CC1,7.060925483703613,7.645786285400391,7.353355884552002
CCN(CC)CCc1c[nH]c2ccc(OC)cc12,6.905885696411133,6.927894592285156,6.9168901443481445
CCN(CC(=NOC)C(CCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1)c1ccc(Cl)c(Cl)c1)C(=O)c1ccccc1,6.828240871429443,6.807105541229248,6.817673206329346
CC(C)CN1CCN(c2cccc(C(F)(F)F)n2)CC1,7.339653015136719,5.673967361450195,6.506810188293457
CCN1CCCC(c2cccc(O)c2)C(CN)C1,5.908730983734131,5.578186988830566,5.743458986282349
CC(N)Cc1c[nH]c2cccc(O)c12,6.0150909423828125,7.747259616851807,6.88117527961731
CN1C(=O)CCCC1CNC(=O)c1cc(I)ccc1F,7.866540431976318,5.672125339508057,6.7693328857421875
COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2cccc(Cl)c2)CC1,7.553334712982178,6.413944721221924,6.983639717102051
CC1CCCN1CCc1cc2cc(Nc3ccccc3F)ccc2o1,6.373940467834473,6.933012008666992,6.653476238250732
CC(C)N(C)C1CCn2cc(c3ccc(C(F)(F)F)cc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,5.576623916625977,5.865108966827393,5.720866441726685
Oc1cc2c(OCCN3CCC(Cc4cccc(-c5ccccc5)c4)CC3)cccc2[nH]1,7.879912376403809,7.34229850769043,7.611105442047119
Oc1nc2[nH]cc(CCN3CC=C(c4ccccc4)CC3)c2c2ccccc12,7.731459140777588,6.342676162719727,7.037067651748657
FC(F)(F)c1ccc(NCC23CC4CC(CC(C4)C2)C3)c(C(F)(F)F)n1,5.395838260650635,5.639543533325195,5.517690896987915
CN1CCCC1CC=Cc1cncc(CCc2ccccc2)c1,5.585869789123535,6.75510311126709,6.1704864501953125
Oc1[nH]cc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc12,8.384242057800293,8.575743675231934,8.479992866516113
CCCN1CCCC1CNC(=O)c1cc(Cc2c(O)cccc2OC)n[nH]1,6.075221538543701,6.557157516479492,6.316189527511597
CC(C)Oc1ccccc1N1CCN(Cc2nc(N)nc(Nc3ccccc3)n2)CC1,7.497479438781738,5.069056034088135,6.2832677364349365
O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2cc(Cl)ccc2s1,8.020673751831055,8.20752239227295,8.114098072052002
CCC1CN(C)c2ccccc2N1C(=O)COc1ccc(C)cc1N1CCN(c2ccc(Cl)cc2Cl)CC1,6.62800407409668,6.641980648040772,6.634992361068726
Cc1cccc(-n2cc(CN(C)C)nc2-c2ccc3c(c2)CCN(CCc2c(C)n[nH]c2-3)CC3)c1,,,
O=S(=O)(c1cccc2cnccc12)N(CCCN1CCN(c2cccc(Cl)c2)CC1)CC1CCCCC1,7.207629680633545,7.907329082489014,7.557479381561279
CCCCCc1cc2cc(C(=O)NCCCN3CCN(c4ccccc4OC)CC3)ccc2[nH]1,7.55598258972168,6.1203131675720215,6.838147878646851
CC(NC(=O)c1ccccc1)C(O)c1ccc(O)cc1,5.329806804656982,6.297281265258789,5.813544034957886
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,6.1087517738342285,4.922016143798828,5.515383958816528
CN(C)CCOc1cc(Cl)cc(N2CCN(CCCCc3ccccc3)CC2)c1,7.242169857025146,6.861347198486328,7.051758527755737
COc1cc(-c2ccc(F)cc2)c(Cl)cc1NC(=O)NC1CCCN(CCCN2CCN(c3ccccc3OC)CC2)C1=O,7.429115295410156,6.586596965789795,7.007856130599976
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,8.753911018371582,8.659098625183105,8.706504821777344
CSc1ccccc1NC(=O)C=Cc1ccc(F)cc1,6.924377918243408,6.625846862792969,6.7751123905181885
CN(C)c1ccc(CNCCCCCOc2ccccc2NS(=O)(=O)c2ccc3ccccc3c2)cc1,6.862987995147705,6.940150737762451,6.901569366455078
Oc1nc2c(O)ccc(C(O)CNCCc3cccc(CNCc4ccccc4Cl)c3)c2s1,6.213502883911133,6.714061737060547,6.46378231048584
OCc1cc(C(O)CNCCCCCOCCOCCOCc2cc(-c3ccc(Br)cc3)oc2=O)ccc1O,,,
Oc1[nH]cc2ccc(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(Cl)c12,8.05458927154541,8.549945831298828,8.30226755142212
O=C(CCCc1ccc(-c2ccccc2F)cc1)Nc1ccc(O)cc1,7.643185615539551,6.552422523498535,7.097804069519043
O=C(c1cc2cc(O)ccc2[nH]1)c1cc2cc(O)ccc2o1,6.323828220367432,5.129672050476074,5.726750135421753
Cc1c(OCCCCN2CCN(c3cccc4c3OCCO4)CC2)ccc2c[nH]c(O)c12,8.244812965393066,8.207819938659668,8.226316452026367
CCCN1CCN(c2cccc(C(F)(F)F)c2C)CC1,6.824514865875244,5.543060779571533,6.183787822723389
Cn1c(=O)c2[nH]c(N3CCN(CC(O)COc4ccc(F)cc4)CC3)nc2n(C)c1=O,6.514917850494385,6.26879358291626,6.391855716705322
