SMILES,D2R_pXC50,_5HT2A_pXC50,D2R__5HT2A_pXC50
CCCC(=CCC1CCC(C)(C2CCC2)C1NC)c1cccc(Br)c1,6.818534851074219,6.177894115447998,6.498214483261108
OCC1Cc2cccc3c2N1CCCCCCN1CCN(c2ccccc2F)CC1,,,
Oc1[nH]cc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(F)c12,8.354814529418945,9.018909454345703,8.686861991882324
COc1cccc(F)c1C(=O)NCCCN1CCN(c2cccc(Cl)c2Cl)CC1,6.878457069396973,6.836564540863037,6.857510805130005
O=C(CCCN1CCC2(CC1)C(=O)N(CCc1ccc(Cl)c(Cl)c1)CN2c1ccccc1,,,
O=C(NNC(=S)NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2cccnc12,6.705892562866211,7.186980247497559,6.946436405181885
CN1CCN(C2=Cc3ccccc3Cc3ccc(F)cc32)CC1,7.8052144050598145,8.737046241760254,8.271130323410034
Clc1ccc(OCCN2CCN(c3cccc4nc(CCCCCCCCCCCCN6CCC(c7ccc(Br)cc7)CC6)cc34)CC2)cc1,,,
CN1CC(CN2CCC3(CCc4ccccc4O3)CC2)C1(C)C,5.0745530128479,7.027902126312256,6.051227569580078
CC(N)Cc1c2c(c(Br)c3c1OCCC3)OCC2,6.214804649353027,8.683310508728027,7.449057579040527
Oc1[nH]cc2ccc(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(F)c12,8.132925987243652,8.799540519714355,8.466233253479004
CCCN(CCCCCCN1C(=O)CC2(CCCC2)CC1=O)C1Cc2ccccc2C1,7.147063255310059,7.051869869232178,7.099466562271118
CN1CCN2c3ccccc3Cc3ccccc3C2C1,6.133472442626953,8.42132568359375,7.277399063110352
Oc1[nH]cc2ccc(OCCCN3CCN(c4cccc5ccoc45)CC3)c(F)c12,8.48218059539795,8.652578353881836,8.567379474639893
Oc1nc2cccc(OCCNCC3CCc4ccc(OCCOc5ccc(F)cc5Cl)cc4CC3)c2o1,7.872570037841797,7.229633808135986,7.551101922988892
CN1CCN(C2Cn3cccc3Sc3ccc(F)cc32)CC1,8.455343246459961,8.428707122802734,8.442025184631348
CN1CCN(C2=Cc3ccccc3Oc3ccc(Cl)cc32)CC1,7.993473052978516,8.390985488891602,8.192229270935059
COc1ccc2c(c1OC)C(CCN1CC=C(c3c[nH]c4cc(F)ccc34)CC1)CC2,8.222097396850586,7.517294883728027,7.869696140289307
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc2N1,8.308917045593262,9.833468437194824,9.071192741394043
COc1ccccc1N1CCN(CCN=C2CC(c3ccc(F)cc3)=NN(C)C2=O)CC1,6.352583408355713,6.504128932952881,6.428356170654297
COc1c2c(cc(O)c1OC)CCN2CCCN1CC=C(c2c(O)cccc2O)CC1,8.397735595703125,6.129414081573486,7.263574838638306
C1=C(c2ccccc2)CCN(CCCN2CCN(c3cccc4oc(Cc5ccccc5)cc34)CC2)C1,7.122128009796143,7.337510108947754,7.229819059371948
CCCc1cc2c(cc1CCCN1CCN(c3cc(C(=O)NCCCCCCCNCC2CCc3ccc(O)cc3C2)CC1)OCO2,,,
O=C(NCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)OCCCO2,7.715758323669434,6.530918121337891,7.123338222503662
Oc1[nH]cc2cc(F)c(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)c12,,,
CN1CCC(c2c(O)cc(O)c3c2OC(=CCCCCCCCCCNC(=O)c2ccc(F)cc2F)C3=O)CC1,6.614005565643311,6.444589138031006,6.529297351837158
CN1CCN(c2cccc3c2ccn3C)c2ccccc21,6.509010314941406,6.457428932189941,6.483219623565674
Fc1ccc(OC2CC3CCC(C2)N3CCC2CCc3ccccc32)c(F)c1,7.021721839904785,7.583564758300781,7.302643299102783
O=C(CCCN1CCN(c2cc(Cl)ccc2Cl)CC1)c1cccc2c1ccccc12,,,
CN1CCCC1Cc1c[nH]c2ccc(Cc3ccccc3)cc12,6.322691440582275,7.875446319580078,7.099068880081177
O=C(c1cccc2ccccc12)C1CCN(CCCc2ccc(F)cc2)CC1,6.501425266265869,8.002788543701172,7.2521069049835205
CC(N)CN1CCc2cccc3c2C1Cc1cccc(Br)c1-3,6.981520652770996,7.425610542297363,7.20356559753418
Oc1[nH]cc2ccc(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(F)c12,8.132925987243652,8.799540519714355,8.466233253479004
