SMILES,D3R_pXC50,D2R_pXC50,D2R_D3R_pXC50
CCCN(CCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C1,8.126958847045898,6.858036041259766,7.492497444152832
COc1cccc(C(=O)NCC2CCCN(Cc3cccc(OC)c3)C2)c1,5.638172149658203,5.417242050170898,5.527707099914551
Cc1cccc(NC(=O)NC2CCC(N3CCN(c4ccccn4)CC3)CC2)c1Cl,7.344879627227783,7.296178817749023,7.320529222488403
O=C(O)C1CN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CCN1,6.004649639129639,6.064073085784912,6.034361362457275
CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1,8.605388641357422,8.405183792114258,8.50528621673584
CNC(=O)N(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2cc(O)ccc2c1,7.255814075469971,7.501026153564453,7.378420114517212
CCCN(CCC1CCC(NC(=O)c2ccc3ncccc3c2)CC1)C1CCc2nc(N)sc2C1,8.6812744140625,7.144192695617676,7.912733554840088
O=C(O)CCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,6.870657920837402,7.595621585845947,7.233139753341675
COc1cccc(C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)c1,8.479230880737305,7.0198893547058105,7.749560117721558
CS(=O)(=O)N(Cc1ccc2nc(O)c3cccn3c2c1)C1CC1,7.118492126464844,6.759657859802246,6.939074993133545
Oc1cccc2[nH]cc(CCN3CC=C(c4ccccc4)CC3)c12,8.011216163635254,8.382097244262695,8.196656703948975
O=C(CCCN1CCN(c2ccc3ccccc3n2)CC1)c1ccc(F)cc1,7.42397403717041,7.485415458679199,7.454694747924805
CC(Nc1cncc(Cl)n1)c1ccccc1,6.119010925292969,5.891903400421143,6.005457162857056
COCC(=O)N=C1Nc2c(ccc(OC)c2OC)NC1c1ccccc1,4.270028114318848,5.75739049911499,5.013709306716919
COc1cccc(CCCN(C)CCCN2C3C4C5CC2C4C2C5C3C4(I)C2(C)C)c1,,,
O=C(NC1CCCCC1)N1CCC(c2nc(-c3ccc(F)cc3)no2)CC1,6.608104705810547,7.117716312408447,6.862910509109497
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(S)n2C)CC3)no1,8.74005126953125,6.869511127471924,7.804781198501587
CNC(=O)c1nnc(-c2ccc(C(C)=O)cc2)o1,4.627695083618164,4.977473258972168,4.802584171295166
CCCN1CCCCC2Cc3n[nH]cc3CC21,7.602911472320557,7.406299591064453,7.504605531692505
O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(I)ccc2[nH]1,9.119412422180176,7.414684295654297,8.267048358917236
O=C1N(CCN2CCN(c3ccc(Cl)cc3Cl)CC2)CCN1c1cccc(Cl)c1,7.615464210510254,7.14445686340332,7.379960536956787
COc1ccccc1N1CCN(CCCNC(=O)C=Cc2ccc(F)cc2)CC1,7.471841812133789,7.325706958770752,7.3987743854522705
Cc1cccc(-c2nc3ccc(C(=O)NCCN4CCN(c5ccccc5OC(F)(F)F)CC4)cn3n2)c1,6.8447136878967285,6.4911627769470215,6.667938232421875
