SMILES,MAOB_pXC50,AChE_pXC50,AChE_MAOB_pXC50
CC(=O)CCC1COc2ccc(S(=O)(=O)N3CCCCC3)cc2C1O,5.475581645965576,4.828232765197754,5.151907205581665
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc1,4.989229679107666,5.178913593292236,5.084071636199951
Cc1c2ccsc2c(C)c2c1c1nnc(S)n1c(=O)oc21,,,
N#Cc1ccc(N2C(=O)C(=Cc3cccn3-c3cccc(C(=O)O)c3)C=CC2=O)cc1,6.038853645324707,5.681064605712891,5.859959125518799
CN(C)c1ccc(C=C2C(=O)Nc3ccccc32)cc1,6.588056564331055,5.143176078796387,5.865616321563721
Nc1ccc(C(=O)OCC2CCCO2)cc1N,4.540271282196045,5.516571521759033,5.028421401977539
CNC(=O)COc1cccc2c1CCN2C,5.337491989135742,5.686592102050781,5.512042045593262
N=C(N)c1ccc(CNC(=O)c2ccc(CNC(=O)c3cccc(-c4ccccc4)c3)cc2)cc1,4.566572666168213,5.184220314025879,4.875396490097046
Cn1cc(C(=O)NN=Cc2cccs2)c(=O)c2cc(S(=O)(=O)N3CCCCC3)ccc21,5.33305549621582,6.105498790740967,5.7192771434783936
O=C(O)C1=CC=C(c2ccc(O)c(CN3CCOCC3)c2)CC1=O,4.891126155853272,4.895641326904297,4.893383741378784
Cc1c(C)c2ccc(OCc3ccc(F)c(F)c3)cc2oc1=O,8.521514892578125,4.381965637207031,6.451740264892578
CCCOc1ccc(C=C2SC(=S)N(CCC(=O)OCC)C2=O)cc1,6.271886825561523,6.671051502227783,6.471469163894653
COc1ccccc1COc1ccc2c3c(cccc13)C2=O,6.439840316772461,5.212527751922607,5.826184034347534
C#CCNCCc1ccc(OCc2cccc(Cl)c2)cc1,6.628857135772705,3.977081537246704,5.302969336509705
CSc1ccccc1NC(=O)c1ccc(C)c(OC(=O)C2CCCCC2)c1,5.024502277374268,6.530221462249756,5.777361869812012
NCC1CC1(C(=O)N1CC=C(c2cc3ccccc3oc2=O)CC1)C(N)=O,5.127860069274902,5.690497875213623,5.409178972244263
C#CCCC(=O)Nc1ccc(OCc2ccccc2)cc1,7.056954383850098,4.693663120269775,5.8753087520599365
NC(=O)C1CCN(Cc2ccc(-c3cccc(F)c3)o2)CC1,4.978461742401123,5.763890743255615,5.371176242828369
CN1C(=O)C(=Nc2ccc(C#N)cc2)c2c3ccccc3c(O)c3cccc1c23,5.57627010345459,5.6591997146606445,5.617734909057617
O=C(C=Cc1ccc(F)cc1)CC(=O)N1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1,5.3529052734375,5.110167980194092,5.231536626815796
CCCCCC#Cc1ccc2c(c1)OC(=O)C(=NC(C)=O)C2,6.261682033538818,4.187530994415283,5.224606513977051
O=c1occ2ccc(OCc3ccc4c(c3)OCO4)cc12,,,
CC(=NNc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)c1cccs1,5.854918003082275,6.078649044036865,5.96678352355957
C=CCn1c(SCC(=O)c2cc(Cl)ccc2OCC)nnc1-c1ccc(Cl)cc1,5.9677510261535645,6.945926666259766,6.456838846206665
O=C1CCCc2cc(OCc3cccc(C(F)(F)F)c3)ccc21,7.482735633850098,4.872254371643066,6.177495002746582
O=C(NC(NC(=S)NNC(=O)c1cccc2ccccc12)C(Cl)(Cl)Cl)C(c1cccc(Cl)c1)c1ccccc1,3.49834942817688,4.963016986846924,4.230683207511902
CC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.987580299377441,6.253636360168457,6.120608329772949
O=[N+]([O-])c1cc(Nc2nc(CCc3ccc(F)cc3)cs2)ccc1Cl,6.354964733123779,5.669672012329102,6.01231837272644
Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,8.812590599060059,4.621744155883789,6.717167377471924
C#CCOc1cc2c(cc1OC)C1CCCCC1=C,,,
CC(=O)N1N=C(c2ccc(OCc3cccc(C(F)(F)F)c3)cc2)OC1=O,6.852615833282471,6.191039085388184,6.521827459335327
O=C(C=Cc1cccc(Cl)c1)Nc1nc2ccccc2[nH]1,5.643508434295654,5.05157995223999,5.347544193267822
O=C(O)c1cccc(-c2cn(Cc3cccc(Cl)c3)nn2)c1,5.005107879638672,5.809451103210449,5.4072794914245605
Clc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,6.283581733703613,5.343508243560791,5.813544988632202
