SMILES,AChE_pXC50,D2R_pXC50,D3R_pXC50,_5HT2A_pXC50,MAOB_pXC50,AChE_MAOB_pXC50,D2R_D3R_pXC50,D2R__5HT2A_pXC50
CC(C(=O)OCC1CCCO1)c1ccc(Cl)cc1,4.835834503173828,5.137019157409668,4.950211524963379,6.548476696014404,4.80882740020752,4.822330951690674,5.043615341186523,5.842747926712036
Cc1cc(C(N)=O)c2nc(Nc3ccc(O)cc3)ncc2c1,6.130860805511475,7.595996379852295,4.388145446777344,5.116595268249512,4.937499046325684,5.534179925918579,5.992070913314819,6.356295824050903
COc1cccc(C2CCCN(C(=O)c3ccc(NC(C)=O)cc3)C2)c1,4.635395526885986,5.995672702789307,4.667144298553467,5.5348992347717285,4.033111572265625,4.334253549575806,5.331408500671387,5.765285968780518
CC(=O)Nc1nc2ccc(S(=O)(=O)N(CC3CCCO3)C3CCCCC3)cc2s1,5.631424903869629,6.644818305969238,5.295474529266357,6.083709239959717,6.009745597839356,5.820585250854492,5.970146417617798,6.3642637729644775
COc1cc2sc(NC(=O)c3ccccc3C)nc2cc1Cl,6.451827049255371,5.9628586769104,4.533899784088135,4.760927200317383,5.068527698516846,5.760177373886108,5.248379230499268,5.361892938613892
COc1cccc(C(C)NC(=O)c2ccncc2)c1,4.461202144622803,5.442513942718506,5.02078104019165,6.220632076263428,4.352035999298096,4.406619071960449,5.231647491455078,5.831573009490967
COC(=O)Nc1nc2cc(S(=O)(=O)c3ccccc3)ccc2[nH]1,5.805262088775635,6.934774398803711,4.149471759796143,5.451447486877441,4.255005836486816,5.030133962631226,5.542123079299927,6.193110942840576
COc1cc2c(cc1OC)-c1n[nH]c(Nc3ccccc3)c1C2,5.467217922210693,6.438581943511963,5.619865894317627,5.536617755889893,4.46968412399292,4.968451023101807,6.029223918914795,5.987599849700928
CC1=CCC2C(C1)c1c(O)cc(C(C)(C)CCCC(C)C3=O)cc1OC2(C)C,,,,,,,,
COC1COCCC1NC1CC2CCCN2C1=O,4.221869468688965,5.433996200561523,6.141100883483887,5.493223190307617,5.90647554397583,5.0641725063323975,5.787548542022705,5.46360969543457
COc1cc(C=Cc2cc(CC(=O)O)c3ccccc3n2)ccc1O,4.659544944763184,5.638967037200928,3.854145765304565,5.089841365814209,5.057830333709717,4.85868763923645,4.746556401252747,5.364404201507568
CCOC(=O)C1C(C)=NC(=C)C=C1c1ccc2c(c1)OCO2,6.134911060333252,4.070622444152832,4.114711284637451,4.642500400543213,5.429200172424316,5.782055616378784,4.092666864395142,4.3565614223480225
CN(C)Cc1ccc(CSCCNC(=O)C2C(=O)NCCN2CCN(c3ccccc3)CC2)cc1,,,,,,,,
Clc1ccc(-c2nnc(Nc3nc4c(-c5ncn[nH]5)cccc4cc3-c3ccccc3)o2)cc1,6.078738212585449,6.340332984924316,6.143651962280273,4.431258678436279,5.230613708496094,5.6546759605407715,6.241992473602295,5.385795831680298
Cc1ccc(CNc2c(C)cccc2C)c(C)c1,5.359487533569336,6.535490036010742,5.172398090362549,7.459070682525635,4.863297462463379,5.111392498016357,5.8539440631866455,6.9972803592681885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,5.585249900817871,6.280418395996094,5.053379535675049,5.3256025314331055,4.376512050628662,4.980880975723267,5.666898965835571,5.8030104637146
