SMILES,_5HT2A_pXC50,D2R_pXC50,D2R__5HT2A_pXC50
CC(C(=O)N1CCCC1c1nc(-c2ccccc2)no1)c1ccc(Cl)c(Cl)c1,5.747833251953125,5.519572734832764,5.633702993392944
COc1cc2c(cc1OC)C1=NOC(CN3CCN(CC=Cc4ccccc4)CC3)C1CO2,5.442343235015869,6.24370813369751,5.8430256843566895
OC1(c2ccc(Cl)c(Cl)c2)CC2CCC(C1)N2CCCCc1ccccc1Cl,6.86534309387207,7.176151275634766,7.020747184753418
OC1(c2ccccc2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,6.722351551055908,7.148784637451172,6.93556809425354
COC(=O)c1c(C)nc(CCCCO)c(C)c1C1=NCCN1,6.998918533325195,5.991020679473877,6.494969606399536
COc1ccc(S(=O)(=O)n2ccnc2CN2CCN(c3cccc(OC)c3)CC2)cc1,5.413430690765381,5.237648010253906,5.3255393505096436
COc1ccc2[nH]cc(CCN)c2c1,7.499403476715088,5.983126163482666,6.741264820098877
COc1cccc2c1cc(C(=O)NCC1CCN(CCOc3ccc(F)cc3F)CC1)n2C,7.533583164215088,6.873598098754883,7.203590631484985
Cc1nnc(O)c2c1c(-c1cccc(F)c1)cn2C1CCN(CCC(N)=O)CC1,6.959220409393311,6.69058895111084,6.824904680252075
CN1CN(c2ncccn2)CC2c3cccc4[nH]cc(c34)CC21,6.197231769561768,7.1554951667785645,6.676363468170166
CCCN(CCC)C1CCc2c(cccc2-c2ccccc2)C1,6.080298900604248,7.303905487060547,6.6921021938323975
CN1CCN(C2=Cn3cccc3Sc3ccc(F)cc32)CC1,9.35267162322998,8.417153358459473,8.884912490844727
O=C(c1[nH]c2cc(Cl)ccc2c1-c1ccccc1)C1CCNCC1,7.823319911956787,5.277227878570557,6.550273895263672
CC1CN(CCc2ccc3c(c2)OCO3)CCN1CCC1CCN(S(=O)(=O)c2cccc(C#N)c2)CC1,5.993667125701904,6.196094036102295,6.0948805809021
O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,7.208466529846191,8.242632865905762,7.725549697875977
CC(C)CC(CN1CCN(c2ccccc2O)CC1)NC(=O)C1CCCN1C,5.129223823547363,6.861162185668945,5.995193004608154
Clc1cnc2n1-c1ccc(Cl)cc1C2,5.519415378570557,6.305710792541504,5.91256308555603
CCOc1ccc(C(=O)NCc2cccc(CO)c2)cc1Cl,6.223254203796387,6.677463531494141,6.450358867645264
NCC1CC1c1ccccc1Br,6.236014366149902,6.111793041229248,6.173903703689575
CCC(CO)NC(=O)C1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1,7.859034061431885,6.6417999267578125,7.250416994094849
Cn1c2cc(Cl)c(F)cc2c(=O)c2c(O)onc21,6.1998724937438965,7.232784748077393,6.7163286209106445
Cc1c(NCCO)cccc1C(=O)N1CCN(c2ccc(Cl)cc2Cl)CC1,6.591218948364258,5.819547176361084,6.205383062362671
Cc1c(C)c2c(c(C)c1O)C1CCC(C)(CN(C)CC3CCOC3)C1(C)C2,6.400736808776856,6.070216178894043,6.235476493835449
Fc1ccc(F)c(F)c1C1=CCC(CN2CCN(CC=Cc3ccccc3)CC2)CC1,5.9706902503967285,5.826171875,5.898431062698364
CC(=O)Nc1ccc(NCCNC2CCc3ccccc3C2)cc1,6.423564910888672,6.4307403564453125,6.427152633666992
CCn1nccc1-c1cc(NC(=O)Nc2ccccc2)ccc1OCCN1CCCCC1,8.383804321289062,7.100382328033447,7.742093324661255
COc1cccc(N(Cc2ccccc2)C(=O)c2ccco2)c1,5.404628276824951,5.183260440826416,5.293944358825684
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.99879789352417,6.543483257293701,7.2711405754089355
CS(=O)(=O)N1CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)c2ccccc21,8.418680191040039,7.527328014373779,7.973004102706909
Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)COc3ccc(C(F)(F)F)cc3)cc12,6.109755516052246,5.52357292175293,5.816664218902588
CN1CCC(CCOc2ncc(C(=O)c3ccc(Cl)cc3)c(O)c2C(=O)N2CCCC2)CC1,6.165165424346924,5.949606418609619,6.0573859214782715
O=C(CCCN1CCC2(CC1)C(=O)N(C(=O)c1ccc(F)cc1)C1CCCC1,,,
Cc1c(CC(=O)NCCN(C)C)oc2c(Br)cccc12,5.9910736083984375,5.989994049072266,5.990533828735352
CC(C)NC(=O)N1CCC2(CC1)CCN(C1CCC(C)c3ccccc31)CC2,6.888941764831543,6.2674713134765625,6.578206539154053
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,5.5901079177856445,5.407471656799316,5.4987897872924805
N#Cc1cccc(-c2ccc3nc(Nc4ccc(N5CCN(CCO)CC5)cc4)nn3c2)c1,5.13194465637207,6.508274555206299,5.820109605789185
CCC1(O)C(=O)OCC2C1=CC1CCC2(C)C(CCC3C4(C)CCC(O)C(C)(C)C4CCC32C)C1,,,
Oc1occ2c1C(CNCC=CI)CCC2,6.48424768447876,6.7844109535217285,6.634329319000244
O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1,8.453816413879395,7.821849822998047,8.13783311843872
O=C(c1cc(CN2CCN(c3cccc(C(F)(F)F)c3)CC2)ccc1F)N1CCC2(CC1)OCc1cc(-c3ccccc3)ccc12,6.246265411376953,6.118373870849609,6.182319641113281
CC(C)CC(CN1CCC(C)(c2ccc(Cl)cc2)CC1)N1CCN(C(=O)c2ccc3c(c2)OCO3)CC1,6.82431697845459,6.39427375793457,6.60929536819458
O=c1oc2ccc(OCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2o1,6.557684421539307,7.326414108276367,6.942049264907837
CC(C)(C)c1nn(-c2cc(F)ccc2F)c2c1ccn2-c1ccc(F)cc1C(=O)O,7.8563714027404785,6.033383369445801,6.94487738609314
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3s2)CC1,5.850639343261719,7.43854284286499,6.6445910930633545
O=C1c2ccccc2C(=O)N1CCCCCCCN1CCN(c2nsc3ccccc23)CC1,7.495031356811523,7.395534515380859,7.445282936096191
NCC1CC1c1ccc(Cl)cc1Cl,6.812301158905029,6.865381717681885,6.838841438293457
CC(=O)N1CCC(C(=O)Nc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc2)CC1,8.51469612121582,7.224444389343262,7.869570255279541
NCC1CC1c1cccc(Cl)c1Cl,6.759958744049072,6.768714427947998,6.764336585998535
CCCN1CCC=C(c2ccc(Nc3nc(Nc4ccccc4C(N)=O)c4cc[nH]c4n3)c(C)c2)C1,5.834012508392334,7.050619125366211,6.4423158168792725
CCCCCCCNC(=O)Nc1cccc(S(=O)(=O)NCCCCN2CCN(c3ccc(C)cc3C)CC2)c1,6.456161975860596,6.932809829711914,6.694485902786255
Cc1c(Nc2c(C#N)cncc2C=CCN2CCN(S(=O)(=O)c3cccc4cccnc34)CC2)ccc2[nH]ccc12,5.794756889343262,6.794919013977051,6.294837951660156
COc1cc2c(cc1OC)C(Cc1ccc(C)cc1)N(CCCN1CCc3cc(F)ccc3C1)CC2,6.904595375061035,6.335025310516357,6.619810342788696
CCCN1CCC(c2ccc(C(F)(F)F)cc2)CC1,6.141244411468506,6.359545707702637,6.250395059585571
Cc1cccc(NC(=O)NCCCN2CCN(c3nsc4cc(F)ccc34)CC2)c1,7.506563663482666,7.308786392211914,7.40767502784729
Cc1nn2c(=O)cc(CN3CCC4(CC3)OCCO4)nc2s1,3.976984024047852,4.8219146728515625,4.399449348449707
CC1CNCCN1C1CCC2C(C1)c1cccc3c1N2CCS3,7.462415218353271,6.47056245803833,6.966488838195801
COc1ccc(NC(=O)Nc2ccccc2)cc1-c1c(Br)cnn1C,9.164563179016112,6.900418281555176,8.032490730285645
CN(C)CC1CC2c3ccccc3Oc3ccc(Cl)cc3C2O1,7.438196182250977,7.71657133102417,7.577383756637573
CN(C)C(=O)N1CCC(CCc2ccc(F)cc2F)(C2CCN(Cc3ccc(F)cc3)CC2)CC1,6.627856731414795,6.08985710144043,6.358856916427612
CC(C)Cn1c2c(c3cc(F)ccc31)CCNCC2,7.580528259277344,6.290729999542236,6.93562912940979
CCC1(CCCCN2CCN(c3ccc(F)cc3)CC2)C(=O)Nc2ccc(Cl)cc21,7.365578651428223,6.966617584228516,7.166098117828369
Cc1ccc(C2=NCCc3c(-c4cccc(F)c4)c[nH]c32)o1,7.443929672241211,5.924553871154785,6.684241771697998
CN1CCN(C2Cc3ccccc3Sc3ccc(-c4cnn(C)c4)cc32)CC1,7.68663215637207,8.523214340209961,8.104923248291016
