SMILES,AChE_Activity,AChE_pIC50
O=C(O)CSCC1=NCC2C=CC(C1)N(C(=O)[C@H](CO)c1ccccc1)C2,0.009718824177980423,inf
O=C(CN=C(O)CCNc1ccccc1F)N1CCCCC1,0.02836000733077526,inf
CC(C)CC(=O)c1cccc(N2CCN(C(=O)c3ccco3)CC2)c1,0.029788870364427567,inf
COP(=O)(OC)CSc1cc(C)ccc1OC,0.1477850079536438,inf
CCN(CC)CCOC(=O)C1=C(c2ccc(C)cc2)C[C@H]2CN3CCC4CC(=O)CCC4(C)[C@@]3(F)[C@H](O)CCN2C1=O,0.01600116491317749,inf
CCCN(CCC)CCCCC[N+](=O)c1c(O)nc(NCC)nc1O,0.10505332797765732,inf
O=[N+]([O-])c1cccc2c1CCNC2c1ccccc1SC,0.032502107322216034,inf
CC(C)C[n+]1ccc(-c2ccc([N+](=O)[O-])cc2)cc1.[I-],0.09219834953546524,inf
CCn1c(SCC(O)=N[C@H](Cc2ccccc2)C(O)=NC)nnc1-c1c[nH]c2ccccc12,0.025231488049030304,inf
CCCCCCCCCCCC(=O)O[C@]1(C)CC[C@@H]2[C@H]3C)CCCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Invalid SMILES,Invalid SMILES
CCN(CCCCC1CCCC1)c1ncccc1C(=O)OC,0.03887462243437767,inf
CCNS(=O)(=O)c1ccc(CN2CCC(C)(c3ccc(F)cc3)CC2)cc1,0.0261582899838686,inf
CC(CN1CCOCC1)C(=O)NC(C)(C)C,0.0023177843540906906,inf
C=CC1(O)CC[C@@]2(C)CCCC[C@@H]2C.[Na+],Invalid SMILES,Invalid SMILES
Nc1ccccc1OCc1ccc(Cl)cc1Cl.O=C(O)C(=O)O,0.00963152851909399,inf
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]341,0.03208816796541214,inf
CCc1ccccc1N1CCN(CCCN2CCN(c3ccccc3F)CC2)CC1.Cl,0.08583357185125351,inf
CCCn1c(=NC(=O)CC)sc2cc(S(N)(=O)=O)ccc21,0.034781210124492645,inf
CCOC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.0036004113499075174,inf
CC(C)CN(C(=O)CSc1nc2ccccc2c(=O)n1C)C(C)C,0.030799517408013344,inf
CN=S(=O)(=O)N1CCC(Cc2ccc(Cl)cc2)CC1,Invalid SMILES,Invalid SMILES
CN(C)CCc1nc2c(c(N)n1)SCC2.O=C(O)[C@H](O)C(=O)O,0.04057443514466286,inf
O=S(=O)(CCN1CCN(c2cccc(F)c2)CC1)N1CCCCCC1,0.08324598520994186,inf
Cn1nc2n(c1=O)CCN(C[C@@H](Br)Cc1ccc(Cl)cc1)C2,0.04496481269598007,inf
