SMILES,AChE_Activity,AChE_pIC50,MAOB_Activity,MAOB_pIC50
CCCC(CCC)CC(=O)O,0.47711607813835144,inf,5.351337313186377e-05,-4.75543100834238
Cc1ccc(N=C(O)c2ccc(Cl)cc2O)c2sc3c(c2n1)CCCC3,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(=O)C(C)C12C=CC(=NC1)C2c1ccccc1,0.5285547971725464,inf,0.03135371580719948,-3.190212057109024
CCCC(C)C1(O)CC[C@H]2C3CCC4=CC(=O)C=C[C@@]4(C)[C@H]3[C@@H](O)C[C@]21C,0.5302032232284546,inf,5.760755925621197e-07,-4.12298779415614
Clc1cc(C2=NCCC[C@H]2c2cccnc2)nc2sc(Cc3ccccc3)cc12,0.527277410030365,inf,0.00702062901109457,-3.873988181962042
CCC(C)C(OC(=N)O)C(Cl)Cl,0.4819769263267517,inf,8.292646816698834e-05,-3.989231540851219
Cc1cc(/C=N/N=C(O)c2ccc(Cl)c(Cl)c2)[nH]n1,0.4941502809524536,inf,0.02651381865143776,-2.301700489539124
CCC12CN3CCCN2CC[C@@]2(OC(=O)c2ccccc2)C3C[C@H]1CCC3,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN1C(=O)CN(C)S1=[N+]([O-])[C@@H](CCCC(=O)O)CCN1C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCCOC(=O)CCC(C)C(=O)C(O)CCCCCCCCCC.Cl,0.47653210163116455,inf,0.02091188170015812,-4.665432111930792
CC(=O)OC1(C(C)=O)CC[C@]23CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.5357016921043396,inf,6.938639103282185e-07,-4.876285913124525
O=C1S[C@@H]2c3cccc4[nH]cc(c34)[C@H]2N(CCCN2CCOCC2)C1,0.5155350565910339,inf,0.0032577330712229013,-4.543039111435821
CCOC(=O)C1=C(c2c(cccc2OC)CC2OCCC2NC1=O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN1CCN(CCOc2cccc3c2OC3)CC1.Cl,0.503339946269989,inf,0.035773713141679764,-4.260947734676628
CN=c1sc2c(-c3ccccc3)cc3cccc1c3-2.Cl,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN=C(N)OC,0.4754977226257324,inf,0.6509619355201721,-5.408784270681705
CC(=O)OCC(=O)[C@@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,0.527045726776123,inf,2.8311712974016245e-09,-4.823405511116834
CCOC(=O)OCc1nc2cc(OCC)c(OC)cc2c(=O)c1Cl,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(N=c1[nH]c(Cc2csc(C(C)C)n2)cs1)C1CCCCC1,0.5072158575057983,inf,0.6018438339233398,-3.7142234824160614
CN(C)c1ccc(OC=C(O)COc2ccc(S(=O)(=O)N(C)C)cc2C(=O)O2CCCC2)cc1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(COc1ccccc1)NC(C)=O,0.49231278896331787,inf,0.0010765191400423646,-3.9093486193258
CCCC(=O)Oc1ccc(C(O)=NCCN2CCOCC2)cc1,0.48820582032203674,inf,0.005122924689203501,-4.868882372600812
CC1CCCC(CN2CCCC[C@@H]2CCc2cccc(CO)c2)C1C,0.503159761428833,inf,0.08079104870557785,-3.169135350780294
CC1(N[C@H](CNc2ccc(Cl)cc2Cl)CCCCC1)C(=O)O,0.49882733821868896,inf,0.001963518327102065,-4.332000960923207
O=C(c1[nH]cnc1C1CCCCC1)N1CCCN(C(=O)C2CCCC2)CC1,0.5059047937393188,inf,0.4668816328048706,-3.9325553561465676
CC(C)=CCOC(=O)C[C@H](CCN(Cl)[C@H](C)C)C1N=C(O)N[C@@H](C(C)C)C=C(C)O[C@H]2C[C@]1(O)C=C[C@H](O)[C@H]1C[C@@H]2,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
N=C(O)N1CCc2ccccc2C1,0.5071796178817749,inf,0.012996448203921318,-4.9699338968955855
COc1ccc2[nH]c3nc4cc(OC)ccc4nc3c2c1,0.5147221088409424,inf,0.19151395559310913,-4.485718888459402
C[C@H]1C[C@@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCOC1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
OC(=Nc1cc(F)c(Cl)cc1OCC1CN(C2CCCCC2)CCO1)C1CCCN1CC1=CC2CCC12,0.5024858117103577,inf,0.004996385425329208,-3.9971433692842795
CC(C)(C)NC[C@H](O)[C@@H]1O[C@@]2(O)O[C@@](C)(O)[C@H]1CC[C@@]2(OC(C)=O)[C@@H]1C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCC(C)=CCCC(C)(CC)CC[C@H](C)CCCCC(C)(C)CC(=O)OC(C)(C(C)C)CCC(=O)CC(=O)O)C1CCCCC1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCC(=O)OC[C@H]([C@H](OC)[C@H](C)C1=C(C)C=C(CC)C[C@H](C=C)[C@H](C(=O)C=C(N)C(C)CC)C(=Cl)CCCC(C(C)(=O)C12,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC1CN(S(=O)(=O)c2ccc3ccc(C(F)(F)F)cc3c2)CC(C)O1,0.5100975036621094,inf,0.0018812337657436728,-4.030713486435119
Cn1nc(CN2CCc3ccccc3C2)c2c1C(=O)CC[C@@H]2C1=C(O)C=CCN1[C@H](C)[C@@H]2CCN12,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN(C)CCN1c2ccccc2C23c2ccccc3CC1CC2,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC1(O)CC=C2C3CCC4=[N+]([O-])CCCC4(C)C3CCC2(C)C1,0.5199735760688782,inf,0.004920694045722485,-3.4639779808397955
C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]3CCCCC3(C)[C@H]1CC[C@H]2[C@@H](O)C(=O)CC[C@@]2(C)[C@@H]3(O)CO,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(Cl)C(O)CC[C@@]2(C)[C@@]1(OC(F)F,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN=C(O)O[C@@H](c1ccccc1)[C@@H]1CN(c2cc(C)ccc2C)C1O,0.5001672506332397,inf,0.06047534570097923,-3.926155486172439
CC(O)=NCCN1CCN(c2ccc3ccc(C(F)(F)F)cc3n2)CC1,0.5042494535446167,inf,0.016172215342521667,-3.594808209410584
O=C(O)[C@H](O)C[C@@H](O)[C@@H](O)C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O[C@@](C(=O)O)[C@@H](O)CO)[C@@H](O)[C@H](O[C@H](C(=O)[C@H]2C[C@@H](O)[C@H]3OC=CCC[C@@H](OCC4)[C@H]3[C@H](CC[C@H](,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
O=C1OC2=C1C[C@@H](C2)c1ccccc1,0.520859956741333,inf,0.00859980471432209,-3.4424403935564643
C[C@H]1C[C@H]2[C@H]3CC[C@]4(C)[C@@]3(F)[C@H](OC(=O)CCCN(C)C)C[C@]2(C)[C@@H]1O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC[C@]1(c2ccccc2)N=C(O)NC12CCCN(C2)c1ccc([N+](=O)[O-])cc1,0.5167058110237122,inf,0.4664669632911682,-3.580626217125851
N=C(O)O.NC[C@@]1c2c3cccc4c3c(cc4)[C@H]1[C@H]1SCCC2C1,0.5260031223297119,inf,9.10999986558636e-09,-4.886829844703771
COC(=O)c1ccc(C(=O)OC)cc1,0.4864107072353363,inf,0.5472898483276367,-2.4657664826081875
C[C@]12CCC[C@]11(C)[C@@H]1CC[C@H]3C[C@H](CCCC(=O)CC3)[C@H]3CC[C@H](OC(=O)C[C@@H]([C@@H](C)O)C[C@@H]13)C2,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=CC4(C)[C@H]3[C@@H](O)CC2[C@H](O)C[C@@]12C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN1[C@@H]2C[C@@H]3C[C@H](Cl)C4=CC(=O)C=C[C@@]4(C)C)C2[C@@H](CO)[C@H]1OC(=O)CO,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1cc(OC)c(CCN2CCN(Cc3cn(C)c4ccccc34)CC2)cc1I,0.5013313889503479,inf,0.13950508832931519,-4.449975622004995
CCCFCCCCCOC(=O)[C@@H]1[C@H](c2ccccc2)C[C@H]2O[C@H](CO)[C@@H]1C(=O)O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN1CCc2nnc([C@@H]3[C@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)O)CO)C1,0.5319321155548096,inf,7.309458851523232e-06,-5.040371835849683
C=CCn1c(CCNCC)nc2cc(Cl)ccc21,0.5048991441726685,inf,0.05391576513648033,-5.542868546523014
CCCC(=O)O[C@](C)(CSC)[C@@H]1Cc2ccccc2C(=O)[C@@H]1O,0.5070142149925232,inf,0.01558282133191824,-4.160636874814115
Cc1cc(C)n2c(SCC(O)=NC3CCCCC3)ncnc2n1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCCOc1ccc(CN=C(O)[C@@H](CCC(C)CC)c2ccccc2)cc1OC,0.4983702600002289,inf,0.015143345110118389,-3.906265566870999
CC(C)NS(=O)(=O)c1ccc2c(c1)N(CCN1CCCC1)c1ccc(F)cc1S2(=O)=O,0.5078514218330383,inf,0.18710263073444366,-4.659767352222471
COc1ccc(S(=O)(=O)NCC2COC3(C)OC(C)(C)OC3C2)cc1C,0.5022611021995544,inf,0.0006335696671158075,-4.040607090465881
C/C(=N/NC(=N)O)c1ccccc1,0.4870971441268921,inf,1.1600050129345618e-05,-3.8668139958412615
Cc1cc(F)ccc1NC(=O)CSc1nc2c(c(O)n1)C(C)CCS2,0.506273627281189,inf,0.43406692147254944,-3.861838647043892
C[C@@]12CCC(=O)[C@@]3(F)[C@H](F)[C@]4(C)[C@@]4(Cl)[C@@]3(F)C(O)C[C@]1(C)C2(C#N)C(=O)CO,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
