SMILES,D2R_Activity,D2R_pIC50,D3R_Activity,D3R_pIC50
CC(C(O)=Nc1ccccc1)S(=O)(=O)c1ncc(C(F)(F)F)cc1Cl,0.0030390890315175056,-2.6566867499563545,0.00204725400544703,-3.494380348411475
CO/C=C/C(=O)O[C@@H]1C(O)=NC(=O)N(S)C(C)C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(O)=NC(C(=N)O)c1ccc(S(=O)(=O)N(C)C)cc1,0.031169740483164787,-3.3589462730006474,0.0008114483207464218,-5.328233264165817
O=S(=O)(NCC1(c2ccccc2)CCC(C(O)=NCc2ccc(OC(F)F)cc2)CC1)c1ccc(F)c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1c2cc(OC[C@H]3CN(c4ccccc4F)CCO3)c(N)cc2nc1C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1ccc(S(C)(=O)=O)cc1C(=O)NN1CCN(CCCCN=c2c(C)nn(-c3ccccc3)c2C)C1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1ccc(CCC(O)=Nc2cccc(-c3nnc4n3CCC4)c2)cc1OC.O=C(O)C(=O)O,0.008821013383567333,-3.4018686331662886,0.002186692552641034,-3.6683302224344763
CCC1COCCN1CC(O)=Nc1nc2c(OC)cccc2s1,0.0027237283065915108,-4.178819715027395,0.0011368547566235065,-3.6821344858443634
Cc1cccc(N=C(O)CSc2nnc(-c3ccccc3)n2CC(O)=Nc2cc[nH]n2)c1,0.003281327895820141,-4.117951515282656,0.0008206418715417385,-4.375023166414346
CCCC(=O)N1CCN(c2nc3c([nH]2)c(=O)n(-c2cc(NC(=O)c3ccco3)c(=O)c2C)C1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCc1ccc(C2N=C(S)N3CCN(C(=O)c4ccccc4)CC32)cc1,0.006747488398104906,-4.185539689521816,0.00025261749397031963,-3.1513936909359526
CN(Cc1ccccc1)C(=O)c1ccc(OCC(=O)N=c2[nH]nc3ccccn23)cc1,0.0036095301620662212,-4.219107992882972,0.0007075182511471212,-4.007003511588345
COCCN(Cc1ccco1)C(=O)c1ccc(-c2cnc(OC3CCC3)c(OC)n2)cc1,0.003110947785899043,-3.9084192028676226,0.0013256629463285208,-3.541150452971007
CN(C)CC(Oc1c(Cl)cc(Cl)cc1Cl)c1ccccc1.Cl,0.01827828958630562,-2.9963807798826774,0.001645693089812994,-3.5644377033985695
COc1ccc(OC)c(CN2CCN(c3ccccn3)CC2c2ccccc2)c1.Cl,0.10730825364589691,-3.739343721514577,0.004685908555984497,-3.2657255893594344
O=C1CC(Sc2ccc3ccccc3n2)CN1Cc1c[nH]c2ccccc12,0.004444696009159088,-2.7982021897593476,0.0015679632779210806,-2.9597405519397153
CCOC(=O)N1CCC(N=C(O)CCc2nc(=N)[nH]cc2C)CC1,0.0075196754187345505,-4.231101208901331,0.0008283222559839487,-3.9775454645932333
O=C(Nc1nc(-c2nc3ccccc3s2)cs1)c1ccno1,0.0030106855556368828,-3.5330421660680145,0.0022988959681242704,-3.189359450043018
Cc1cc(N(C)C)n2nc(-c3cccc(N=c4[nH]c5ccc(Cl)cc5[nH]4)c3)nc2n1,0.005019518081098795,-3.480945794568372,0.0014724951470270753,-3.0841641974246223
COc1ccc(-c2nsc(N=C(O)CN3CCN(C(=O)OC(C)(C)C)CC3)n2)cc1OC,0.0060331509448587894,-3.618954639988293,0.005706115625798702,-3.451130384279898
CC(C)C(CN=C(O)C1CCCN1c1ncccn1)c1ccccc1Cl,0.006552518345415592,-3.714513138835666,0.001019611139781773,-3.1842020969258207
COc1ccc(-c2cc(-c3ccccc3)nc(OC)n2)cc1OC,0.0035372436977922916,-3.343157379081043,0.008178455755114555,-2.7344752887622326
COc1cc(N=C(N)O)c(OC)cc1N1CCN(C(=O)c2ccc(OC)nc2)CC1.O=C(O)C(F)(F)F,0.0027985572814941406,-4.022949352785254,0.008449876680970192,-3.076545578388229
Cc1ccc(S(=O)(=O)N(C)C)cc1C(=O)OCC(O)=NC(c1ccccc1)c1cc2ccco2oc1=O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
OC(CCN1CCN(c2ccc3nnnn3n2)CC1)=Nc1ccccc1,0.11387244611978531,-3.5084595209095983,0.009702899493277073,-2.4467924921395485
