SMILES,D2R_Activity,D2R_pIC50,_5HT2A_Activity,_5HT2A_pIC50
CC(C(O)=Nc1ccc(Oc2ccc(C(=O)c3ccco3)cc2)cc1)=NC1CC1,0.002090889262035489,-3.935949129147362,0.009138145484030247,-3.207297601886844
COc1ccc(C)cc1N[C@H]1CCN(CC/C=C2\c3ccccc3C(=O)O2)CC1,0.3751746118068695,-3.1599651051542605,0.010766264982521534,-2.809760946376588
O=C(NCCc1ccccn1)c1ccc(-c2cccc(Cl)c2)o1,0.007259773556143045,-2.495523357803842,0.011986997909843922,-2.701327392864256
CCOCCCN=c1[nH]n(-c2ccccc2)c(SOCC)c1C#N,0.005366399884223938,-3.3425111353800068,0.010826672427356243,-3.4929880754410947
Oc1cc2cccc(C(O)=Nc3cccc(OC[C@H]4CCOC4)c3)c2cc1OCc1ccco1,0.004905587062239647,-3.4536211598171436,0.007697573397308588,-3.5164235575551404
CCN1C[C@@H](c2ccc(OC)c(OC)c2)Cc2ccccc21,0.0038858456537127495,-2.686965681186895,0.030537281185388565,-3.577858661083755
O=C(COC(=O)c1ccc2c(c1)OCO2)NCCc1c[nH]c2ccccc12,0.005322898738086224,-3.7698530518706406,0.03262241929769516,-3.393907328333605
CCC(C)N=C1c2ccc(OC)cc2C(c2ccccc2)=NC(C)=C1O,0.006366353947669268,-2.55781185600401,0.02072243019938469,-2.6918174794086176
COc1cc2c(cc1OC)[C@@H](CCN1CCC(c3ccc(OC)cc3)CC1)CC2=O,0.15536710619926453,-2.924500129627864,0.12598471343517303,-3.4875685202891225
CC(O)=Nc1nc(N2CCN(C(=O)c3cccc(Cl)c3)CC2)[nH]c(=Nc2cccc(Cl)c2)s1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1ccc(C)c(S(=O)(=O)N(CC(O)=NCc2ccco2)Cc2ccc(S(N)(=O)=O)cc2)c1,0.003694579703733325,-3.4182326941336227,0.007365901954472065,-2.7324165877718083
CCOC(=O)C(O)(c1ccc(C(F)(F)F)cc1)c1ccccc1,0.005029991269111633,-3.988334099551631,0.006141563877463341,-3.602870721520274
Cc1ccc(N=C(O)C(OC(=O)c2cc(-c3ccccc3)n(C)n2)c2nc(-c3ccco3)cs2)cc1,0.003897165646776557,-3.972181976241428,0.008413653820753098,-3.076003797035588
CC(=O)c1cccc(N=C(O)COc2ccccc2-c2cn3cc(Cl)cc(Cl)c3n2)c1,0.004777765832841396,-3.5543375621646813,0.010664382018148899,-3.1804197356970163
CCOC(=O)C1=C(c2sc[nH]c2C)C(O)=NC1c1ccc(OCC)c(OC)c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
O=C(c1cccc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1)N1CCN(Cc2ccc(O)cc2)CC1,0.017594752833247185,-3.6869470280778796,0.025223126634955406,-2.4188122247578594
Cc1ccc(C)n1CC(O)=Nc1ccc(Cn2c(S)nc3ccc(Cl)cc3c2=O)cc1,0.004057506565004587,-3.9204625417726646,0.012368287891149521,-2.826634068993972
C#CCN1CCC(/C=C\c2c(COc3ccc(C)cc3)nc3ccc(OC)cc23)CC1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
OC1(CCN2CCN(c3cccc(Cl)c3)CC2)CCCCC1,0.6154378652572632,-1.4194775419222916,0.05832616984844208,-1.966171782471754
OC(=NCCN1CCN(c2cccc(Cl)c2)CC1)c1sccc1-c1ccccc1,0.4664139449596405,-2.843451618015708,0.11364643275737762,-2.2100059218298678
C/C(=C/Nc1ccc(S(=O)(=O)c2ccc(C)o2)cc1)c1ccccc1,0.005052648019045591,-4.100429181788455,0.005787480156868696,-3.054357011271554
CCCN=C(O)N1CCc2c(cc([N+](=O)[O-])c1O)C1=NC(=S)C12,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1ccc(C(=O)c2ccc(NC(=O)c3ccncc3)cc2)c(C)c1,0.005150049924850464,-4.150019270492969,0.008883739821612835,-2.6814052583143058
O=C(O)Cc1nnc(-c2ccc3c(c2)OCO3)o1,0.00445971917361021,-3.4591149697346872,0.008574152365326881,-4.7742316067965245
C=CCN1C(=O)C(OC(=O)c2oc3cc(OC)ccc3c2C)c2cc(C(F)(F)F)ccc21,0.005622184835374355,-3.737114683821015,0.009640797041356564,-3.0576192495114087
Cc1cc(C)cc(C(O)=NCc2ccccc2C(F)(F)F)c1,0.007753163110464811,-4.224461357179728,0.012186633422970772,-3.1813240919740178
Cc1ccc(N=C(O)c2ccc(NC(=O)c3ccc(C(F)(F)F)cc3)nc2)c(F)c1,0.0054360926151275635,-3.927697406620518,0.012361817061901093,-2.94247193877155
OC(=Nc1ccc(Cl)cc1Cl)c1cc(-c2cccs2)nc2ccccc12,0.0029053865000605583,-3.024629803433092,0.01447178516536951,-2.5358326458221145
N#Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)N=C(O)C(=O)c2cccc3non2)cc1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1ccc(NC(=O)C2CCN(S(=O)(=O)c3cccs3)CC2)cc1,0.006921760272234678,-3.862789283747718,0.013360816054046154,-0.5226262565320599
Cc1ccc(N)c(OCC(O)CN2CCN(c3ccccn3)CC2)c1,0.827730655670166,-3.178882202585423,0.5306790471076965,-3.6015530104802993
