SMILES,D3R_Activity,D3R_pIC50
O=C(Oc1ccc(Cl)cc1)c1cnc2c3c(cn2c1=O)CCCC3,Invalid SMILES,Invalid SMILES
COc1cc(OC)c2c(c1)[C@]13CCCCC1CN(Cc1ccc(CC(C)C)cc1)C(=O)[C@]21Cc2ccccc2S1(=O)=O,Invalid SMILES,Invalid SMILES
COc1ccc(-c2nnc(SCc3nc4ccccc4s3)n2N)cc1,0.003985501825809479,-2.812887722030058
CN(C)C(=O)Cc1ccc(-c2ccc(C#Cc3ccccc3)o2)cc1,0.01212780550122261,-3.695943268151712
COc1cc(OC)cc(C(O)=NN=C(O)c2sc(C)nc2C)c1,0.0007920638890936971,-4.034495031241704
Fc1ccc(NCc2ccc(Cl)cc2)cc1-n1cnnc1,0.0009638159535825253,-2.7553135791967223
O=C(O)C(=O)O.c1ccc(-c2cccc(Br)c2)cc1,0.020657408982515335,-3.535866409335691
OC(CC1CCCCC1)=N[C@@H](S(=O)(=O)c1ccc(F)c(C(F)(F)F)c1)c1ccccc1,0.0031037279404699802,-3.75213140057791
COCCn1c(=O)c2ccccc2n(CC(=O)N2CCC(C)CC2)c1=O,0.0020675095729529858,-3.6120087018385654
CCCCOc1ccc(CN2C(=O)C(C(C)=O)N=C2O)cc1OCCC,0.001977144507691264,-4.266812195297142
COC(=O)c1ccccc1N=C(O)CCCNC(S)=Nc1cccc(Cl)c1C,0.00021524557087104768,-3.5230963278877203
Cc1ccc(N=C(O)CN(c2nnnn2-c2cccc(Cl)c2)S(C)(=O)=O)c(C)c1,0.0013165544951334596,-3.9579257029287125
Cc1ccsc1C(=O)c1ccc[n+](C)c1.[Cl-],7.106189942041041e-11,-3.8302431254280473
Cc1ccccc1N=C(O)c1ccc(-c2ccccc2OCCO)cc1,0.0037540600169450045,-2.9110071881696302
CN(Cc1ccccc1)C(=O)/C=C\C1N(c2ccccc2)S(=O)(=O)c2ccccc2N(C)C1=O,0.0004904806264676154,-4.116300147820689
O=C(O)c1c(C(O)=NCCSc2ccccn2)csc1C(=O)O,0.0008850029553286731,-4.004023621490838
OC(=NCc1cccnc1)c1cc(-c2ccccc2)on1,0.0006932822871021926,-3.588431838500475
COc1ccccc1-c1cc(-c2ccc(C(=O)N3CCc4ccccc4C3)cc2)no1,0.01505774911493063,-2.907732762791147
N#Cc1ccc(-c2csc(-c3ccc(C#N)cc3)n2)cc1,0.0030393083579838276,-2.7944952848466356
OC1CN=C(c2cccc(Cl)c2)SC1=NCc1ccccc1,0.0008628441137261689,-2.979635159403416
CCOC(=O)[C@@H]1N=C(c2ccc(OC)c(OC)c2)N[C@H](S(=O)(=O)N2CCOCC2)N=C1O,0.08562684804201126,-3.6976160671584637
Cc1c(C(O)=NC(S)=NCCCSc2ncnc3c2CCC3)oc2ccccc12,0.003643351374194026,-3.079059941352598
Cc1ccc(Cl)cc1N=C(O)COC(=O)CNC(=O)c1ccccc1,0.0006367010646499693,-3.821070086359476
CCCCCCSc1cccc2c1OCC(CO)O2,0.11592591553926468,-2.350028296808868
O=[N+]([O-])c1c(Br)cc(F)c(N2CCN(Cc3ccccc3)CC2)c1Cl,0.0002750401326920837,-3.675122448097587
C[C@H](NS(=O)(=O)c1cccc(S(C)(=O)=O)c1)C(=O)N1CCOCC1,0.0054250904358923435,-4.299745919996971
