SMILES,MAOB_Activity,MAOB_pIC50
CC(C(O)=Nc1ccccc1)N1CCCCC1,0.1622122973203659,-4.139768074514833
Cc1cc2oc(=O)cc(CN3CCC(C(F)(F)F)CC3)c2cc1C,0.004037057515233755,-3.1943151950235453
CN1CCN(CC2CCCC(Cc3ccccc3)(c3ccccc3)C2)CC1,0.012554948218166828,-4.617976823684769
Cn1c(=NC(=O)c2ccc(Cl)cc2)sc2cc(Cl)ccc21,0.04513726755976677,-3.087898468453768
Cc1oc2ccc(OCC(O)=Nc3cccc(N=C4OC(=N)O4)c3)cc2c1C,0.0030995586421340704,-2.9426380253651585
OC[C@H]1CN([C@H]2C[C@H](F)[C@@H](COC(=O)c3ccc(Cl)cc3)[C@H](O)[C@H]2O)CC1,5.780767241958529e-05,-4.285629143530066
CC(=O)c1cccc(NN2CCN(CCCCN4CCO[C@@H]C4)CC2)c1,0.050200946629047394,-4.914004584220995
O=C1NC[C@H]2C1c1ccccc1NS2,0.0009882856393232942,-4.504776948816161
C[C@@H]1[C@@H]2Cc3cccc4scc(c34)C[C@H]2N(C)C1,0.003082625102251768,-3.5411804452993216
CCC(C)C(=O)CSc1nn2c(C)nnc2s1,0.8114212155342102,-4.121448636617374
CC(N=C(O)CSCN1CCN(C(=O)c2cccs2)CC1)c1ccncc1,0.09130910038948059,-4.713377310329517
CN1CC2CCN(C)CC2S1(=O)=O,5.535621676244773e-05,-4.828077218534966
CC(C)=C[C@@]1(C)CC[C@H]2[C@H]3Cc4cccc5c4CCN3[C@H](C2)[C@H]1C5,2.673080530257721e-07,-4.2373069152439
Cc1ccccc1-c1ccOC(=O)C=C(C)N1CCN(CCO)CC1,Invalid SMILES,Invalid SMILES
O=C(O)CCC(=O)O.O=C(c1ccccc1)c1ccc(Cl)cc1,0.00010246963938698173,-4.857844936996452
C#C[C@]1(O)[C@@H](C=C)CC,Invalid SMILES,Invalid SMILES
COCC(=O)N=C(O)C1(C)SCC(=O)CC1c1ccccc1,0.009017433039844036,-3.1009164034227283
C=CCn1sc(C(=O)N=c2ccnc[nH]2)c(O)c1=O,0.7108104228973389,-3.9845717585551776
CN=C(O)OC1NC2CC3CCCC(C2)C31,0.775056004524231,-5.011563844679669
Cc1ccc(CN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)cc1,0.10839007794857025,-3.000132551153492
CC(=O)c1ccc(OCCC(=O)O)c(OC(C)=O)c1,8.365307621716056e-06,-4.244626326481637
CC(=O)c1ccc(O)c(NC(=O)c2cccc(OCc3cccc(O)c3)c2)c1,0.012515455484390259,-3.6201331256228197
CCC(=O)N1c2ccc(Cn3c(S)nc4ccc(Cl)cc4c3=O)cc2CC1C,0.32634472846984863,-4.39368291982234
COc1ccccc1N1CCN(C(=O)CNC(c2ccccc2)c2ccccc2)CC1,0.00665105739608407,-4.692797653401453
COc1ccccc1N1CCN(CC(O)=Nc2sc3c(c2C#N)CCC3)CC1,0.010772238485515118,-4.1896653990638715
COC[C@@]1(c2ccc(F)cc2)[C@@H]2COC(=O)C[C@H]2[C@@H]1N2C(=O)CCCC2,0.000551400997210294,-4.97956057422094
N=C(O)[C@@H]1CCc2ccccc2C1,0.00021734103211201727,-3.8207105753740604
CCCN1CCN(c2cccc(C)c2C)CC1,0.5246174931526184,-3.910715270988856
CN1CCc2c(ccn2Cc2c(Cl)cccc2Cl)C1,0.00695726927369833,-3.0907521052464477
C=CCN1CCC23c4c5cccc4SCC2C(=O)N(CCC)CCN3C1C5,0.08389784395694733,-4.840423313770302
CC1(C)O[C@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=CC5(C)[C@H]4C(O)CC3(C)C2(C(=O)CO)O1,3.698170871757611e-07,-4.165137709934905
CC1(C)C(=O)CCC[C@H]1[C@@H]1[C@@H](O)CC[C@@]2(C)NC3=CC(=O)C=C[C@]3(C)[C@@]12C,4.274612365406938e-05,-4.648225794333604
CC(C)(C)Nc1cc(NC(=O)CCNc2ccccc2)ccc1Cl,0.001457915990613401,-4.7875665986489535
CNCCOCCSc1ccccc1,0.018101699650287628,-4.41321283929083
CC(C)(C)n1nnnc1SCC(O)=NC(O)=Nc1ccccc1SCC(Cl)(Cl)Cl,0.00019102889928035438,-3.982476040866276
CNC(O)CCCc1ccc(O[C@H]2O[C@H](C)(C)O[C@H]2c2ccccc2)cc1,Invalid SMILES,Invalid SMILES
C=CCN(C(=O)c1cn(-c2ccccc2F)nn1)C1CCCC1,0.5591274499893188,-3.8805020348668307
N=C(O)NCC1CCC2(C)CCN(Cc3ccccc3F)CC2C1,0.00019587611313909292,-5.427805003772745
CC[C@H]1C[C@@H](C)CC[C@H]1C(=O)OC(CO)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](OC(C)(C)C)C(OC(=O)(C(C)(C)C)/C)[C@@H](C)N1,Invalid SMILES,Invalid SMILES
CCN(C)CCN(C)CCCCCN1c2ccccc2CCc2ccccc21.Cl,0.004437662661075592,-3.586898790505617
CC(=O)c1cccc([N+](=O)[O-])c1O,0.022078752517700195,-5.258490160047972
CCCc1cc(CN2CCN(C(=O)c3ccc(F)cc3)CC2)on1,0.28501564264297485,-5.231014352037439
CN1C[C@H](C(O)=NN=C(O)c2ccccc2)C[C@@H]2c3cccc4[nH]cc(c34)[C@@H]12,0.0020999438129365444,-3.625019811954241
