SMILES,_5HT2A_Activity,_5HT2A_pIC50
CC(C(O)=Nc1ccc(Oc2ccc(C#N)cn2)cc1)c1ccccc1,0.007586800027638674,-4.133251094321761
COC(=O)C1CCN(c2ncccn2)CC1,0.015484713949263096,-4.139562781089236
COc1ccc(C2=Nc3ccccc3C(c3ccccc3)=NC2=O)cc1,0.014407468028366566,-2.621054623314384
Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(Cl)cc2)n(C)c1=O,0.031033117324113846,-2.3678455287485196
C[C@H]1C[C@H]2[C@H]3C[C@H](F)C4=C[C@@H](O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]2(C)C1C(=O)CO,0.04339787736535072,-3.294530972790652
Cc1ccc(/C=N/N=C(O)c2ccc(Cl)c(S(C)(=O)=O)c2)cc1,0.007120437454432249,-3.53840067785351
C#CCN1CCC(/C=C/c2ccc(O)c(O)c2)CC1,0.008908377029001713,-3.853877546675627
Cc1[nH]c(=NC(=O)CCCC(=O)O)sc1C,0.01939917728304863,-3.3347144426628974
Clc1ccc(N=C(O)c2ccc3nc[nH]c3c2)c(Cl)c1,0.01978796161711216,-3.2050025896116967
CC(C)CN1CCN(C/C=C/c2ccccc2)CC1,0.016066906973719597,-4.299387602508332
c1cnc(NCc2cccc3ccccc23)nc1,0.007156883832067251,-4.120749027043217
CN1CC(N=C(O)c2cc(Cl)c3c(c2)OCO3)CC1=O,0.02561897411942482,-3.405917050728724
COc1ccc(C2=NC(C(=O)OCc3ccc(F)cc3)=N2)cc1,0.011156736873090267,-2.081157057674348
C[C@@]12CC[C@@H](C)[C@H]1CCN(C(=O)c1csc(N=C(O)c3ccc[nH]3)n1)C2,0.02846199832856655,-3.832085677016887
N#Cc1ccccc1C1CCN(CCSc2ccccc2)CC1,0.14466869831085205,-3.0367066151219757
CSc1nnc(SCc2ccc(F)cc2)s1,0.003840638790279627,-2.496373520727883
COc1ccc(CNCCc2ccc(S(N)(=O)=O)cc2)c(OC)n1,0.059222228825092316,-4.152413318388952
O=C(O)C(=O)O.O=C(c1ccc(O)cc1)c1c(O)nc(=O)n(CCO)c1-c1ccccc1,0.029136622324585915,-2.8499990242147577
CCOC(=O)C1=C(C)N(CCc2ccc(OC)cc2)C(=O)NC1c1ccc(OC)cc1,0.00868529174476862,-3.2729018523341677
c1ccc(CNc2nc(N3CCOCC3)[nH]c(=Nc3cccc(CN4CCNCC4)c3)n2)cc1,0.0043039810843765736,-4.461317618107003
CCCC(=O)Oc1ccc(C(O)=NCCc2ccc(OC)c(OC)c2)cc1,0.015395844355225563,-3.913066670912028
Cn1c(CCCN2CCc3ccc(CO)cc3C2)nc2cc(Cl)ccc21,0.02989760972559452,-2.3790725537575104
OC(CN1CCN(c2ccccc2F)CC1)=NNc1cccc2cccnc12,0.04107380658388138,-2.809244219338637
COc1ccc2c(=O)c(C(=O)Nc3nc(-c4ccsc4)cs3)c[nH]c2c1,0.03144136071205139,-3.3697352767800464
Cl.O=C([O-])C1=NN=C(N)C(c2ccccc2Cl)NC1,0.006183116231113672,-3.3556026277293345
C#CCN(C)C[C@H](O)[C@H](c1ccccc1)c1ccccc1,0.0067330109886825085,-3.9383959008628073
COc1cccc(N=C(N)Cc2nnnn2C2CCCC2)c1,0.00476266210898757,-4.185187770203068
CCOC(=O)C1=C(CNc2ccc(C(=O)O)cn2)C(=O)N(CC)C1c1ccc(F)cc1,0.00858340784907341,-3.4048501467548755
COc1cccc(OC)c1OCC(O)CN1c2ccccc2Sc2ccc(C(=O)O)cc21,0.00900704599916935,-2.8714047423407827
Brc1cc(Cl)c2c(c1)C(C1CCCN(Cc3ccccc3)C1)CO2,0.0085748340934515,-2.4868629691717823
COc1cc2c(cc1OC)C1(c3ccccc3)CCN(C)CC1C2,0.0628306046128273,-2.7958797089082297
Cc1nc2ccccn2c1C(=O)NCCCN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,0.008850001730024815,-1.8644085953554757
CC1(C)OC(OC(=O)/C=C/c2cccc3cccnc23)C(O)=Nc2ccc(F)cc21,0.008897118270397186,-3.456482818141998
C=CCN=C(O)C(c1ccccc1)N(C)C,0.012791566550731659,-4.324421962876816
C#CCN=C(O)CCC(=O)OC1CCN(C(=O)c2cccc(OC)c2)CC1,0.019100558012723923,-4.344918555764485
Cc1ccc(C)c(S(=O)(=O)N2CCN(C/C=C/c3ccccc3O)CC2)c1,0.0216550100594759,-2.6669717281032526
C/C(=N\N=C(O)c1ccccc1N1CCN(c2ccccc2)CC1)c1ccccc1,0.008878704160451889,-3.8239112742457126
COC(=O)c1ccc(/C=C/c2ccc(S(=O)(=O)N3CCCC3)cc2)cc1,0.005624002777040005,-3.155730621263158
CC(C)[C@@]1(O)CC[C@H]2C[C@H]3c4[nH]c5cc(O)ccc5c4CCN3CC[C@H]21cccc1,Invalid SMILES,Invalid SMILES
Cc1ccc(NC(=O)COC(=O)c2ccc3c(c2)CCN3S(=O)(=O)c2ccccc2)cc1,0.01428358443081379,-2.622522959647821
CC(C)CN(CCCc1ccccc1)CCC(O)=NC1CC1,0.04774941876530647,-3.814347693182727
CN(C)c1ccc(NC(=O)c2ccc(O)c(Cl)c2)nc1,0.014061947353184223,-3.318675552440074
CCn1c(SCC(=O)C(C)(C)C)nc2sccc2c1=O,0.01426715962588787,-3.6938180386231494
COc1c(C(=O)Nc2ccc(C(=O)N=c3scc[nH]3)cc2)c(OC)nn1-c1ccc(Cl)c1,Invalid SMILES,Invalid SMILES
COc1cc2c(cc1OC)C(=O)c1cccc(C)c1-2,0.01630440540611744,-2.808280889145176
COc1ccccc1CNc1cc2cc(-c3ccc(Cl)cc3)ccc2oc1=O,0.008847556076943874,-2.8495862739680127
O=C1/C(=C/c2ccccc2Br)OCC1=O,0.00911994744092226,-3.1471941132714463
COc1ccc(-c2nc(-c3ccc4c(c3)OCO4)no2)cc1OC,0.017565736547112465,-3.8749321752101578
C#CCN1CCC(/C=C\c2ccc(F)cc2)CC1,0.0008517659734934568,-2.8744080461296697
CCCN(CC(C)C)C(=O)c1ccc(-n2c(SCC)nc3c2c(=O)n(C)c(=O)n3C)cc1,0.009748985059559345,-2.905258658632594
N#CC1(N2CCN(Cc3ccc4c(c3)OCO4)CC2)CCCCC1,0.06090635433793068,-3.511308678582051
O=C(O)/C=C/c1ccc(N2CCN(c3ccccc3F)CC2)c(O)c1,0.02118016965687275,-3.557572574180349
COc1ccc(/C=N/Nc2nc(-c3ccc(Cl)cc3)cs2)c(OC)n1,0.011922232806682587,-3.446616172943404
C#CCO[C@H]1CCC1Oc1ccc2c(c1)N(C(=O)c1ccc(OC)c(OC)c1)C(=O)C2,0.011413108557462692,-3.2901774484224213
CC(C)C(O)=Nc1cccc(-c2ccc(C(=O)N3CCCCC3)cc2)c1,0.0076171355322003365,-3.204885850811234
C#CCNCCC1=COC(=O)N(C)C1c1ccc(Cl)cc1,0.002017596270889044,-3.683017348683915
Cc1ccc2nnc(SCC(O)CN3CCOCC3)nc2c1,0.0025508722756057978,-4.192347257395998
C#CCN=C(O)C1=C(N)OC(CCCC=N)C(=O)N2CCN(CCCC(=O)OC(C)(C)C)CC2)C(=O)C1,Invalid SMILES,Invalid SMILES
